Rostov,Rostov,1980.??.??,?,"Ehlvest, Jaan","Ryskin, Alexander",,,C91,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['d4', 'Bg4'], ['Be3', 'exd4'], ['cxd4', 'Na5'], ['Bc2', 'c5'], ['dxc5', 'dxc5'], ['Nbd2', 'Nd7'], ['Qb1', 'Nc6\n'], ['e5', 'h6'], ['Be4', 'Rc8'], ['Bf5', 'Bxf5'], ['Qxf5', 'Nb6'], ['Ne4', 'Qd7'], ['Qh5', 'Nb4'], ['Nf6+', 'gxf6\n'], ['Bxh6', 'Qd3'], ['exf6', 'Bxf6'], ['Ne5', 'Qh7'], ['Re3', 'Bxe5'], ['Rxe5', 'Rc6'], ['Rg5+', 'Rg6'], ['Bxf8', 'Qxh5\n'], ['Rxh5', 'Kxf8'], ['Rxc5', 'Re6'], ['h4', 'Re2'], ['a3', 'Nd3'], ['Rc6', 'Nc4'], ['b3', 'Nce5'], ['Rxa6', 'Rxf2\n'], ['a4', 'Rb2'], ['Rf1', 'Rxb3'], ['a5', 'Ra3'], ['Ra8+', 'Kg7'], ['a6', 'b4'], ['a7', 'b3'], ['Rb8', 'Rxa7\n'], ['Rxb3', 'Ra4'], ['Rd1', 'Rd4'], ['g3', 'Rd6'], ['Kg2', 'Kg6'], ['Ra3', 'f5'], ['Kf1', 'Rd4'], ['Ra6+', 'Kh5\n'], ['Ra5', 'Re4'], ['Rxd3', 'Nxd3'], ['Rxf5+', 'Kg4'], ['Ra5', 'Kh3'], ['Ra1', 'Kxg3'], ['h5', 'Kf3'], ['Rd1', 'Nf4\n'], ['Rd8', 'Nxh5'], ['Rd3+', 'Kg4'], ['Kf2', 'Nf4'], ['Rg3+', 'Kf5']]",1/2-1/2
URS-FL,Kujbyshev,1986.??.??,?,"Ehlvest, Jaan","Sveshnikov, Evgeny",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'e6'], ['O-O', 'Nge7'], ['Nc3', 'Nd4'], ['Nxd4', 'cxd4'], ['Ne2', 'Nc6'], ['c3', 'Bc5\n'], ['b4', 'Bb6'], ['Bb2', 'dxc3'], ['dxc3', 'O-O'], ['a3', 'Qh4'], ['Ng3', 'Ne5'], ['Qd6', 'f6'], ['c4', 'Nf7\n'], ['Qd2', 'd6'], ['Rac1', 'Rd8'], ['Rfd1', 'Bc7'], ['Qe2', 'Bd7'], ['Bxd7', 'Rxd7'], ['c5', 'Re7'], ['Rc4', 'Qh6\n'], ['Bc1', 'Qg6'], ['h4', 'h6'], ['h5', 'Qh7'], ['Bf4', 'dxc5'], ['Bxc7', 'Rxc7'], ['Rxc5', 'Re7'], ['Qc2', 'Kh8\n'], ['Rc7', 'Rxc7'], ['Qxc7', 'Qg8'], ['Qxb7', 'Ne5'], ['Ne2', 'Rc8'], ['Nf4', 'Rc3'], ['Qe7', 'Nc6'], ['Qxe6', 'Qxe6\n'], ['Nxe6', 'Rxa3'], ['Rc1', 'Nxb4'], ['Rc8+', 'Kh7'], ['Nf4', 'Ra5'], ['g4', 'Rg5'], ['f3', 'a5'], ['Kf2', 'a4\n'], ['Ra8', 'a3'], ['Ng6', 'Rxg6'], ['hxg6+', 'Kxg6'], ['Rxa3', 'h5'], ['gxh5+', 'Kxh5'], ['Rc3', 'Kg6'], ['Ke3', 'Kf7\n'], ['Rc7+', 'Kg6'], ['f4', 'Kh6'], ['Rc4', 'Na6'], ['e5', 'Kg6'], ['e6', 'f5'], ['Kd4', 'Kf6'], ['Kd5', 'Ke7\n'], ['Ke5', 'g6'], ['Rc6', '']]",1-0
URS-FL,Kujbyshev,1986.??.??,?,"Ehlvest, Jaan","Temirbaev, Serik",,,C18,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'c5'], ['a3', 'Bxc3+'], ['bxc3', 'Ne7'], ['Qg4', 'O-O'], ['Nf3', 'Nbc6\n'], ['Bd3', 'f5'], ['exf6', 'Rxf6'], ['Bg5', 'Rf7'], ['Bxe7', 'Rxe7'], ['Qh4', 'h6'], ['O-O', 'c4'], ['Bg6', 'Qd6\n'], ['Ne5', 'Nxe5'], ['dxe5', 'Qd8'], ['f4', 'Bd7'], ['Rae1', 'Qb6+'], ['Kh1', 'Qc5'], ['h3', 'Rf8'], ['g4', 'Be8\n'], ['Bxe8', 'Rexe8'], ['f5', 'd4'], ['f6', 'Qd5+'], ['Kh2', 'dxc3'], ['Re2', 'Rf7'], ['g5', 'hxg5'], ['Qxg5', 'Rd8\n'], ['Rg2', 'Rdd7'], ['Rf4', 'Qd2'], ['Qg3', 'b5'], ['Rh4', 'Qd5'], ['Qg5', 'Qf3'], ['Qg6', '']]",1-0
URS-FL,Kujbyshev,1986.??.??,?,"Ehlvest, Jaan","Yakovich, Yuri",,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Bb7'], ['d3', 'Be7'], ['a4', 'd6\n'], ['Nc3', 'Na5'], ['Ba2', 'b4'], ['Nd5', 'Nxd5'], ['exd5', 'b3'], ['Qe1', 'Bxd5'], ['Qxa5', 'Bxf3'], ['Bxb3', 'Bb7\n'], ['f4', 'exf4'], ['Qb4', 'Rb8'], ['Qxf4', 'Bf6'], ['Re1+', 'Kf8'], ['Bd2', 'Qd7'], ['Bc3', 'Bxc3'], ['bxc3', 'h5\n'], ['Be6', 'Qe7'], ['Bd5', 'Qd7'], ['Rab1', '']]",1-0
URS-FL,Kujbyshev,1986.??.??,?,"Kaidanov, Grigory S","Ehlvest, Jaan",,,B70,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'g6'], ['Bc4', 'Bg7'], ['h3', 'O-O'], ['O-O', 'a6\n'], ['Re1', 'Nc6'], ['Be3', 'Na5'], ['Bf1', 'Bd7'], ['Nf3', 'Qc7'], ['Bg5', 'Rac8'], ['Bxf6', 'exf6'], ['Nd5', 'Qd8\n'], ['Qd2', 'Re8'], ['Rad1', 'Nc4'], ['Bxc4', 'Rxc4'], ['Nc3', 'Bf8'], ['Qd3', 'b5'], ['Nd5', 'Bc6'], ['Nd2', 'Bxd5\n'], ['exd5', 'Ra4'], ['a3', 'f5'], ['Kf1', 'Bh6'], ['Rxe8+', 'Qxe8'], ['Re1', 'Qc8'], ['Nf3', 'Bg7'], ['c3', 'Bf6\n'], ['Nd2', 'Kg7'], ['Kg1', 'h5'], ['Qe3', '']]",1/2-1/2
URS-ch otbor,Minsk,1986.??.??,?,"Ehlvest, Jaan","Ivanchuk, Vassily",,,D44,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'c6'], ['Bg5', 'dxc4'], ['e4', 'b5'], ['e5', 'h6'], ['Bh4', 'g5'], ['Nxg5', 'hxg5\n'], ['Bxg5', 'Be7'], ['exf6', 'Bxf6'], ['Bxf6', 'Qxf6'], ['g3', 'Na6'], ['Bg2', 'Bb7'], ['a4', 'O-O-O'], ['axb5', 'cxb5\n'], ['Bxb7+', 'Kxb7'], ['Nxb5', 'e5'], ['d5', 'Nb4'], ['Rxa7+', 'Kb6'], ['Qa4', 'Nd3+'], ['Kd2', 'Qxf2+\n'], ['Kc3', 'Qxb2+'], ['Kxc4', 'Rc8+'], ['Kxd3', 'e4+'], ['Ke3', 'Rc3+'], ['Nxc3', 'Qxc3+'], ['Kxe4', 'f5+\n'], ['Kf4', 'Qd2+']]",1/2-1/2
URS-ch otbor,Minsk,1986.??.??,?,"Smirin, Ilia","Ehlvest, Jaan",,,C98,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Na5'], ['Bc2', 'c5'], ['d4', 'Qc7'], ['Nbd2', 'Nc6'], ['d5', 'Na5'], ['Nf1', 'Nb7'], ['b3', 'g6'], ['Ng3', 'Bd7\n'], ['Nh2', 'c4'], ['b4', 'a5'], ['a3', 'axb4'], ['cxb4', 'Ne8'], ['Ng4', 'Ng7'], ['f4', 'exf4'], ['Bxf4', 'Bxg4\n'], ['Qxg4', 'Bf6'], ['Ra2', 'Ra6'], ['Qf3', 'Be5'], ['Kh1', 'Qe7'], ['Rf1', 'Bxf4'], ['Qxf4', 'Rfa8'], ['Rf3', 'Nd8\n'], ['Ne2', 'Qe5'], ['Nc3', 'Rb8'], ['Qxe5', 'dxe5'], ['Rf1', 'Ne8'], ['a4', 'bxa4'], ['b5', 'Ra7'], ['Bxa4', 'Kf8\n'], ['Rb2', 'Nd6'], ['Rb4', 'N8b7'], ['b6', 'Ra6'], ['Bc6', 'Nc5'], ['b7', 'Ncxe4'], ['Nxe4', 'Nxe4'], ['Kg1', 'Nd6\n'], ['Re1', 'e4'], ['Kf2', 'Ra3'], ['Re3', 'Ra1'], ['Re1', 'Rxe1'], ['Kxe1', 'Ke7'], ['Kd2', 'f5'], ['Ke3', 'Kd8\n'], ['Kd4', 'Kc7'], ['Ra4', 'f4'], ['h4', 'h6'], ['Ra1', 'e3'], ['Rf1', 'Rf8'], ['Ke5', 'Nxb7'], ['Bxb7', 'Kxb7\n'], ['Ke6', 'g5'], ['Ke7', 'Rh8'], ['Rb1+', 'Ka6'], ['hxg5', 'hxg5'], ['d6', 'c3'], ['Kf6', 'c2'], ['Ra1+', 'Kb5\n'], ['Kxg5', 'Kc4'], ['Kxf4', 'Kd3']]",0-1
URS-ch otbor,Minsk,1986.??.??,?,"Kozlov, Vladimir N","Ehlvest, Jaan",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Na5'], ['Bc2', 'c5'], ['d3', 'Bb7'], ['Nbd2', 'Re8'], ['Nf1', 'Rc8'], ['Ng3', 'g6'], ['Bh6', 'Bf8\n'], ['Qd2', 'Bg7'], ['Nf5', 'Nxe4'], ['dxe4', 'gxf5'], ['b3', 'b4'], ['Bxg7', 'Kxg7'], ['Rad1', 'bxc3'], ['Qxc3', 'f4\n'], ['Nh4', 'Qxh4'], ['Qxa5', 'Re6'], ['Qb6', 'Qe7'], ['Bd3', 'Rc6'], ['Qa5', 'Rg6'], ['Bf1', 'Rc8'], ['b4', 'cxb4\n'], ['Qxb4', 'Rg8'], ['Rd3', 'Kh8'], ['Qd2', 'Bc6'], ['Rd1', 'Bxe4'], ['Rxd6', 'R6g7'], ['Rd8', 'Bxg2'], ['Rxg8+', 'Rxg8\n'], ['Bxg2', 'f3'], ['Qd5', 'Rxg2+'], ['Kf1', 'Qf6'], ['Rd3', 'e4'], ['Rd4', 'Qf4'], ['Rc4', 'e3'], ['Qa8+', 'Kg7\n'], ['Rxf4', 'e2+'], ['Ke1', 'Rg1+'], ['Kd2', 'e1=Q+'], ['Kd3', 'Qe2+'], ['Kc3', 'Rc1+']]",0-1
URS-ch otbor,Minsk,1986.??.??,?,"Vyzmanavin, Alexey","Ehlvest, Jaan",,,D93,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Qc2', 'g6'], ['Bf4', 'Bg7'], ['e3', 'O-O'], ['Nc3', 'Be6'], ['Qb3', 'Qb6\n'], ['c5', 'Qxb3'], ['axb3', 'Nbd7'], ['h3', 'Ne4'], ['b4', 'a6'], ['Bd3', 'Bf5'], ['g4', 'Nxc3'], ['gxf5', 'Ne4\n'], ['Ne5', 'Nef6'], ['Ke2', 'Nxe5'], ['Bxe5', 'Nd7'], ['Bg3', 'Nf6'], ['Rag1', '']]",1/2-1/2
URS-ch otbor,Minsk,1986.??.??,?,"Ehlvest, Jaan","Vaulin, Alexander",,,A65,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Bd3', 'd6'], ['Nge2', 'e6'], ['O-O', 'exd5\n'], ['cxd5', 'Re8'], ['Ng3', 'Na6'], ['h3', 'Bd7'], ['Bf4', 'Qb8'], ['Re1', 'Qc7'], ['Rc1', 'Rac8'], ['Bc4', 'Nb8\n'], ['Qd2', 'a6'], ['a4', 'Rcd8'], ['Bg5', 'Bxa4'], ['Nxa4', 'b5'], ['Bb3', 'bxa4'], ['Bxa4', 'Nbd7'], ['b4', 'Rc8\n'], ['bxc5', 'dxc5'], ['Bf4', 'Qa7'], ['e5', '']]",1-0
URS-ch otbor,Minsk,1986.??.??,?,"Ehlvest, Jaan","Smagin, Sergey",,,D52,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'e6'], ['Bg5', 'Nbd7'], ['e3', 'Qa5'], ['cxd5', 'Ne4'], ['dxe6', 'fxe6\n'], ['Bh4', 'Bb4'], ['Nd2', 'Nxc3'], ['bxc3', 'Bxc3'], ['Rc1', 'O-O'], ['Qc2', 'Bb4'], ['Bd3', 'Kh8'], ['Rd1', 'e5\n'], ['O-O', 'exd4'], ['exd4', 'Qh5'], ['Bg3', 'Nb6'], ['Nc4', 'Nd5'], ['Rb1', 'Bc3'], ['Be5', 'b5'], ['Ne3', 'b4\n'], ['Qa4', 'Qf7'], ['a3', 'Nf4'], ['Be4', 'Bd7'], ['axb4', 'Bxd4'], ['Bxd4', 'Ne2+'], ['Kh1', 'Nxd4'], ['Rbd1', 'c5\n'], ['Qa1', 'Rae8'], ['Bd5', 'Be6'], ['bxc5', 'Bxd5'], ['Qxd4', 'Bc6'], ['f3', 'a5'], ['Nc4', 'Bb5'], ['Nd6', 'Qd7\n'], ['Nxe8', 'Qxd4'], ['Rxd4', 'Bxf1'], ['Nd6', 'Rb8'], ['Kg1', 'Rb1'], ['Kf2', 'Ba6'], ['Ra4', 'Rb2+'], ['Ke3', 'Bf1\n'], ['Rxa5', 'h6'], ['g4', 'h5'], ['c6', 'Rc2'], ['Rxh5+', 'Kg8'], ['Nf5', 'g6'], ['Rg5', 'Kf7'], ['Nd4', 'Rxh2\n'], ['c7', 'Rh8'], ['Rc5', 'Ba6'], ['Nb5', 'Re8+'], ['Kf4', 'Rf8'], ['c8=Q', '']]",1-0
URS-ch otbor,Minsk,1986.??.??,?,"Ehlvest, Jaan","Monin, Nikolay",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['Nf3', 'Nc6'], ['Be3', 'Qb6'], ['Na4', 'Qa5+\n'], ['c3', 'cxd4'], ['b4', 'Nxb4'], ['cxb4', 'Bxb4+'], ['Bd2', 'Bxd2+'], ['Nxd2', 'b6'], ['Qb3', 'g5'], ['Qb5', 'gxf4\n'], ['Qxa5', 'bxa5'], ['Bb5', 'Ke7'], ['Nf3', 'Rb8'], ['Bc6', 'f6'], ['Bxd7', 'Bxd7'], ['Nc5', 'Bb5'], ['Rc1', 'Rhc8\n'], ['Kf2', 'Bc4'], ['exf6+', 'Kd6'], ['Nb3', 'e5'], ['Rhe1', 'a4'], ['Rxe5', 'axb3'], ['axb3', 'Rxb3'], ['Rh5', 'Rb2+\n'], ['Kg1', 'd3'], ['f7', 'd2'], ['Rd1', 'Bd3'], ['Kf2', 'Bg6'], ['Rh4', 'Rf8'], ['Rxf4', 'Rxf7'], ['Rxf7', 'Bxf7\n'], ['g4', 'Be8'], ['Ke3', 'Ba4'], ['Rxd2', 'Rxd2'], ['Kxd2', 'Be8'], ['Kc3', 'a5'], ['h4', 'Bd7'], ['Ng5', 'Bxg4\n'], ['Nxh7', 'Ke5'], ['Ng5', 'd4+'], ['Kc4', 'Be2+'], ['Kb3', 'a4+'], ['Kxa4', 'd3'], ['Nh3', 'd2'], ['Nf2', 'Kd4\n'], ['Kb3', 'Ke3'], ['Kc2', 'Bh5'], ['Nd1+', 'Ke2'], ['Nb2', '']]",1/2-1/2
URS-ch otbor,Minsk,1986.??.??,?,"Ehlvest, Jaan","Kupreichik, Viktor D",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['Qe2', 'Qe7'], ['d3', 'Nf6'], ['Bg5', 'Qxe2+'], ['Bxe2', 'Be7\n'], ['Nc3', 'Nc6'], ['Ne4', 'Nxe4'], ['dxe4', 'Ne5'], ['Bxe7', 'Kxe7'], ['Nxe5', 'dxe5'], ['O-O-O', 'Be6\n'], ['a3', 'Rad8'], ['Rxd8', 'Rxd8']]",1/2-1/2
URS-ch otbor,Minsk,1986.??.??,?,"Sveshnikov, Evgeny","Ehlvest, Jaan",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['Nc3', 'Nxc3'], ['dxc3', 'Be7'], ['Bf4', 'O-O'], ['Qd2', 'Nd7\n'], ['O-O-O', 'Nc5'], ['Nd4', 'Ne6'], ['Be3', 'Nxd4'], ['cxd4', 'c6'], ['Bd3', 'Be6'], ['Kb1', 'Qd7'], ['c3', 'Bf5\n'], ['Bxf5', 'Qxf5+'], ['Qc2', 'Qxc2+'], ['Kxc2', 'd5'], ['Bf4', 'Rfe8'], ['Rhe1', 'Bf8'], ['Kd2', 'f6'], ['Rxe8', 'Rxe8\n'], ['Re1', 'Rxe1'], ['Kxe1', 'Kf7'], ['Ke2', 'a6'], ['a4', 'Ke6'], ['Kf3', 'g6'], ['g4', 'Be7'], ['h3', 'Bf8\n'], ['Ke3', '']]",1/2-1/2
URS-ch otbor,Minsk,1986.??.??,?,"Ehlvest, Jaan","Grigorian, Karen Ashotovich",,,B85,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e6'], ['O-O', 'Be7'], ['a4', 'O-O\n'], ['f4', 'Nc6'], ['Be3', 'Qc7'], ['Qe1', 'Nxd4'], ['Bxd4', 'e5'], ['Be3', 'exf4'], ['Bxf4', 'Be6'], ['Qg3', 'Nd7\n'], ['Bh6', 'Qc5+'], ['Kh1', 'Qe5'], ['Bf4', 'Qc5'], ['Be3', 'Qe5'], ['Bf4', 'Qc5'], ['Bg4', 'Ne5'], ['Bf5', 'Ng6\n'], ['Bd2', 'Bf6'], ['Qh3', 'Rfe8'], ['Rad1', 'b5'], ['axb5', 'axb5'], ['b3', 'Bxf5'], ['exf5', 'Nh4'], ['b4', 'Qc6\n'], ['Rf4', 'Bxc3'], ['Bxc3', 'Nxg2'], ['Qxg2', 'Qxc3'], ['Rg1', 'Ra1'], ['Re4', 'Rxg1+'], ['Kxg1', 'Qa1+\n'], ['Kf2', 'Rc8']]",0-1
URS-ch otbor,Minsk,1986.??.??,?,"Dautov, Rustem","Ehlvest, Jaan",,,D43,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'c6'], ['Qb3', 'dxc4'], ['Qxc4', 'b5'], ['Qb3', 'Nbd7'], ['Bg5', 'Qa5\n'], ['Bxf6', 'Nxf6'], ['g3', 'b4'], ['Na4', 'Ba6'], ['e3', 'Nd7'], ['Bxa6', 'Qxa6'], ['Rc1', 'Qb5'], ['Qc2', 'Rc8\n'], ['b3', 'Be7'], ['Qe2', 'O-O'], ['Rc2', 'Rfd8'], ['Nb2', 'Nf6'], ['Ne5', 'Bf8'], ['Na4', 'Bd6'], ['Nc4', 'Bf8\n'], ['Ne5', 'Bd6'], ['Nd3', 'Nd5'], ['O-O', 'Nb6'], ['Nac5', 'Nd5'], ['Ne4', 'Bf8'], ['Rfc1', 'h6'], ['Qf1', 'Nb6\n'], ['Ne5', 'Qd5'], ['Qg2', 'c5'], ['Nxc5', 'a5'], ['Qxd5', 'exd5'], ['Nb7', 'Rxc2'], ['Rxc2', 'Ra8'], ['Rc6', '']]",1-0
Minsk tt,Minsk,1986.??.??,?,"Ivanchuk, Vassily","Ehlvest, Jaan",,,D18,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'dxc4'], ['a4', 'Bf5'], ['e3', 'e6'], ['Bxc4', 'Bb4'], ['O-O', 'Nbd7\n'], ['Nh4', 'Bg4'], ['f3', 'Bh5'], ['g4', 'Nd5'], ['Ng2', 'Bg6'], ['Na2', 'Be7'], ['e4', 'N5b6'], ['Be2', 'a5\n'], ['Qb3', 'h5'], ['Nf4', 'hxg4'], ['Nxg6', 'fxg6'], ['Be3', 'Nf6'], ['Qxe6', 'Qd6'], ['Qxd6', '']]",1/2-1/2
Minsk tt,Minsk,1986.??.??,?,"Ehlvest, Jaan","Titov, German",,,B15,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'c6'], ['f4', 'd5'], ['e5', 'Nh6'], ['h3', 'b6'], ['Nf3', 'Nf5'], ['Ne2', 'h5'], ['g3', 'Ba6\n'], ['Rg1', 'e6'], ['g4', 'Nh4'], ['Ng5', 'Qe7'], ['Ng3', 'Bxf1'], ['Rxf1', 'hxg4'], ['hxg4', 'f6'], ['exf6', 'Bxf6\n'], ['Qe2', 'e5'], ['dxe5', 'Bxg5'], ['fxg5', 'Nd7'], ['e6', 'Nc5'], ['Bf4', 'O-O'], ['O-O-O', 'Qxe6'], ['Qh2', 'Rxf4\n'], ['Rxf4', 'Qe3+'], ['Kb1', 'Qxf4'], ['Qxh4', 'Qe5'], ['Rh1', 'Qg7'], ['Nf5', 'gxf5'], ['gxf5', 'Re8'], ['a3', 'Ne4\n'], ['Qh5', 'Re5'], ['Rg1', 'Rxf5'], ['Qe8+', 'Rf8'], ['Qe6+', 'Qf7'], ['Qxc6', 'Re8'], ['g6', 'Qe6'], ['Qb7', 'Re7\n'], ['Qb8+', 'Kg7'], ['Rh1', 'Qxg6'], ['Qh8+', 'Kf7'], ['Rh7+', 'Ke6'], ['Rh6', 'Qxh6'], ['Qxh6+', 'Nf6\n'], ['Qf4', 'Kf7'], ['Ka2', 'Ke6'], ['Qb8', 'Ne8'], ['Qc8+', 'Kd6'], ['Kb3', 'Ke5'], ['Qd8', 'Ke6'], ['Kc3', 'Nc7\n'], ['a4', 'Rd7'], ['Qb8', 'Kf6'], ['b3', 'Ne6'], ['Kb4', 'Rc7'], ['Kb5', 'Ke7'], ['Qh8', 'd4'], ['b4', 'Kd6\n'], ['Qh2+', 'Kd7'], ['Ka6', 'Ke7'], ['Qe5', 'Kd7'], ['Qh2', '']]",1/2-1/2
Minsk tt,Minsk,1986.??.??,?,"Ehlvest, Jaan","Giorgadze, Giorgi",,,D30,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'c5'], ['cxd5', 'exd5'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['dxc5', 'Bxc5\n'], ['Qc2', 'Bb6'], ['Nc3', 'Nc6'], ['Bg5', 'Be6'], ['Qa4', 'h6'], ['Bh4', 'Bc5'], ['Rad1', 'g5'], ['Nxg5', 'hxg5\n'], ['Bxg5', 'Be7'], ['Bxf6', 'Bxf6'], ['Nxd5', 'Bxb2'], ['Qb5', 'Bg7'], ['Qxb7', 'Rc8'], ['e3', 'Qa5'], ['f4', 'Qa3\n'], ['Kh1', 'Bg4'], ['Rde1', 'Qxa2'], ['f5', 'Be5'], ['Rc1', 'Be2'], ['Rf2', 'Rfd8'], ['Kg1', 'Qa6'], ['Qb1', 'Bd3\n'], ['Qb3', 'Nd4'], ['Rxc8', 'Rxc8'], ['Ne7+', 'Kf8'], ['Qb4', 'Rc1+'], ['Bf1', 'Bd6'], ['Ng6+', 'fxg6'], ['Qxd4', 'gxf5\n'], ['Qh8+', 'Ke7'], ['Qg7+', 'Kd8'], ['Qh8+', 'Kd7'], ['Qg7+', 'Kc6']]",0-1
Minsk tt,Minsk,1986.??.??,?,"Avshalumov, Alex","Ehlvest, Jaan",,,D92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['Bf4', 'c5'], ['dxc5', 'Qa5'], ['e3', 'Nc6'], ['Nd2', 'dxc4\n'], ['Bxc4', 'Qxc5'], ['O-O', 'O-O'], ['Rc1', 'Rd8'], ['Bb3', 'Qa5'], ['Qe2', 'Bf5'], ['Bc4', 'Rac8'], ['Nb3', 'Qb6\n'], ['h3', 'a6'], ['g4', 'Bd7'], ['Rfd1', 'Qa7'], ['a4', 'Be8'], ['a5', 'Rxd1+'], ['Rxd1', 'h5'], ['g5', 'Nd7\n'], ['Nd5', 'e6'], ['Nc7', 'Nce5'], ['Nxe8', 'Rxe8'], ['Nd2', 'Qc5'], ['Ne4', 'Qc6'], ['Bd3', 'Qd5'], ['b4', 'Rc8\n'], ['Bb1', 'Qc4'], ['Qxc4', 'Rxc4'], ['Bxe5', 'Nxe5'], ['Rd8+', 'Kh7'], ['Kg2', 'Rxb4'], ['Bc2', 'Rc4'], ['Bb1', 'Rc7\n'], ['Nd6', 'Nc6'], ['Ra8', 'Nxa5']]",0-1
URS-ch U20,Tallinn,1986.??.??,?,"Epishin, Vladimir","Ehlvest, Jaan",,,D18,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'dxc4'], ['a4', 'Bf5'], ['e3', 'e6'], ['Bxc4', 'Bb4'], ['Nh4', 'Bg4\n'], ['Qb3', 'c5'], ['O-O', 'Nc6'], ['Na2', 'Na5'], ['Qd3', 'Nd7'], ['Bb5', 'O-O'], ['Nxb4', 'cxb4'], ['Bd2', 'Qxh4\n'], ['Bxb4', 'Bf5'], ['Qa3', 'Nc6'], ['Bxf8', 'Rxf8'], ['Bxc6', 'bxc6'], ['Qd6', 'Nb8'], ['Rfc1', 'Qd8'], ['Qc5', 'Qd7\n'], ['b4', 'a6'], ['f3', 'Bg6'], ['Ra3', 'f6'], ['Rb3', 'Bf7'], ['b5', 'cxb5'], ['axb5', 'e5'], ['d5', 'e4'], ['fxe4', 'axb5\n'], ['Rxb5', 'Qg4'], ['h3', 'Qxe4'], ['Rc4', 'Qe5'], ['Qd4', 'Qd6'], ['Qc5', 'Qg3'], ['Rb7', 'Re8'], ['Qc7', 'Qxe3+\n'], ['Kh2', 'Qe5+'], ['Qxe5', 'fxe5'], ['Rcc7', 'Bxd5'], ['Rxg7+', '']]",1/2-1/2
URS-ch U20,Tallinn,1986.??.??,?,"Ehlvest, Jaan","Yakovich, Yuri",,,C78,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Bb7'], ['Re1', 'Bc5'], ['c3', 'O-O\n'], ['d4', 'Bb6'], ['Bg5', 'h6'], ['Bh4', 'd6'], ['a4', 'Re8'], ['axb5', 'axb5'], ['Rxa8', 'Bxa8'], ['d5', 'Na7\n'], ['Na3', 'g5'], ['Bg3', 'c6'], ['dxc6', 'Bxc6'], ['Nd2', 'Nc8'], ['Qf3', 'Kg7'], ['Nc2', 'Ne7'], ['Nb4', 'Bd7\n'], ['Qd3', 'Bc5'], ['Na6', 'Ng6'], ['Nxc5', 'dxc5'], ['Qe3', 'Be6'], ['Bxe6', 'Rxe6'], ['Nf3', 'Qc7'], ['Qe2', 'c4\n'], ['h3', '']]",1/2-1/2
