TCh-CHN Men,"Suzhou, Jiangsu CHN",2001.03.26,1,Ding Liren,Wu Wenjin,,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'Nd6'], ['Bxc6', 'dxc6'], ['dxe5', 'Nf5'], ['Qxd8+', 'Kxd8\n'], ['Nc3', 'h6'], ['Bd2', 'Be6'], ['Rad1', 'Kc8'], ['Rfe1', 'b6'], ['a3', 'Kb7'], ['Bc1', 'Re8'], ['h3', 'c5\n'], ['Ne4', 'Ne7'], ['b3', 'a5'], ['Nc3', 'Nc6'], ['Bb2', 'c4'], ['bxc4', 'Bxc4'], ['Ne4', 'Be6'], ['Rd2', 'Be7\n'], ['Red1', 'Rd8'], ['Kf1', 'Rxd2'], ['Rxd2', 'a4'], ['Nd4', 'Nxd4'], ['Rxd4', 'b5'], ['f4', 'h5'], ['Kf2', 'Kc6\n'], ['Kf3', 'g6'], ['Ke3', 'Rd8'], ['Rxd8', 'Bxd8'], ['Kd4', 'Be7'], ['Bc1', 'Bf5'], ['Bb2', 'b4'], ['axb4', 'Bxb4\n'], ['c3', 'a3'], ['Ba1', 'Be7'], ['c4', 'Bxe4'], ['Kxe4', 'Kc5'], ['Kd3', 'Kb4'], ['g4', 'hxg4'], ['hxg4', 'Kb3\n'], ['f5', 'gxf5'], ['gxf5', 'Ka2'], ['Bc3', 'Kb1'], ['e6', 'fxe6'], ['fxe6', 'a2'], ['Ke4', 'Ba3'], ['Kd3', 'c6\n'], ['Bd4', 'a1=Q'], ['Bxa1', 'Kxa1'], ['Kd4', 'Be7'], ['c5', 'Kb2'], ['Kc4', 'Ka3']]",0-1
RUS-CHN Match Rapid,Sochi RUS,2009.08.22,6,Ding Liren,"Tomashevsky,E",,,E17,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['Nc3', 'O-O'], ['Bf4', 'Bb4'], ['Rc1', 'd6\n'], ['O-O', 'Bxc3'], ['Rxc3', 'Nbd7'], ['b3', 'Qe7'], ['Bc1', 'h6'], ['Re1', 'a5'], ['Bb2', 'Be4'], ['Nh4', 'Bxg2\n'], ['Kxg2', 'd5'], ['cxd5', 'Nxd5'], ['Rc1', 'c5'], ['Nf3', 'Rfd8'], ['e4', 'N5f6'], ['a4', 'Rac8'], ['d5', 'exd5\n'], ['e5', 'Nh7'], ['Qxd5', 'Ndf8'], ['Qe4', 'Ng5'], ['Nxg5', 'hxg5'], ['Rcd1', 'Ne6'], ['Bc3', 'Rd7'], ['Rxd7', 'Qxd7\n'], ['Re2', 'c4'], ['Rd2', 'Qe8'], ['Bd4', 'cxb3'], ['Bxb6', 'Rb8'], ['Rd6', 'Qc8'], ['Be3', 'b2'], ['Qb1', 'g4\n'], ['h3', 'gxh3+'], ['Kh2', 'Qc3'], ['Kxh3', 'Qxe5'], ['Rd2', 'g6'], ['Kg2', 'Qf5'], ['Rd1', 'Qg4'], ['Rd2', 'Qb4\n'], ['Re2', 'Qb7+'], ['Kg1', 'Qb3'], ['Kg2', 'Qa3'], ['Ba7', 'Rb7'], ['Rxe6', 'fxe6'], ['Qxg6+', 'Kf8'], ['Qf6+', 'Ke8\n'], ['Qxe6+', 'Qe7'], ['Qg8+', 'Kd7'], ['Qd5+', 'Kc8'], ['Qc6+', 'Qc7'], ['Qe8+', 'Qd8'], ['Qc6+', 'Rc7\n'], ['Qa6+', 'Kd7'], ['Qb5+', 'Ke6'], ['Qe2+', 'Kf7'], ['Qh5+', 'Kg8'], ['Qg6+', 'Rg7'], ['Qe6+', 'Kh8'], ['Qh6+', 'Kg8\n'], ['Qe6+', 'Kh7'], ['Qh3+', 'Kg6'], ['Qe6+', 'Kh7'], ['Qh3+', 'Kg6'], ['Qe6+', 'Qf6'], ['Qxf6+', 'Kxf6\n'], ['Bd4+', 'Ke6'], ['Bxb2', 'Rc7'], ['g4', 'Rc4'], ['Kg3', 'Rxa4'], ['f4', 'Rb4'], ['f5+', 'Kf7'], ['Be5', 'Rb5\n'], ['Kf4', 'a4'], ['Bc3', 'Rb3'], ['Ba1', 'Rb4+'], ['Kg5', 'a3'], ['Kh5', 'Rb1']]",0-1
RUS-CHN Match Rapid,Sochi RUS,2009.08.22,7,"Nepomniachtchi,I",Ding Liren,,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nd7'], ['Nf3', 'Ngf6'], ['Bg5', 'h6'], ['Nxf6+', 'Nxf6'], ['Be3', 'Nd5\n'], ['Bd2', 'c5'], ['Ne5', 'a6'], ['c3', 'cxd4'], ['Qa4+', 'Bd7'], ['Qxd4', 'Rc8'], ['Nxd7', 'Qxd7'], ['g3', 'f5\n'], ['Bg2', 'Bc5'], ['Qd3', 'b5'], ['O-O', 'Kf7'], ['a4', 'Rhd8'], ['axb5', 'axb5'], ['Qe2', 'Nf6'], ['Rfd1', 'Qd3\n'], ['Qxd3', 'Rxd3'], ['Bf1', 'Rd6'], ['Be1', 'Rxd1'], ['Rxd1', 'Rb8'], ['b4', 'Be7'], ['Ra1', 'Ne4'], ['f3', 'Nd6\n'], ['Ra7', 'Rc8'], ['Bf2', 'Rxc3'], ['Bc5', 'Ke8'], ['Bxb5+', 'Nxb5'], ['Rxe7+', 'Kd8'], ['Rxe6', 'Rxf3\n'], ['Rg6', 'f4'], ['Kg2', 'Rd3'], ['gxf4', 'Rd7'], ['Kf3', 'Ke8'], ['Rb6', 'Nc3'], ['Rd6', 'Rb7'], ['f5', 'Kf7\n'], ['Rd8', 'g5'], ['Rf8+', 'Kg7'], ['f6+', 'Kh7'], ['Kg4', 'Nd5'], ['Kf5', 'Nxb4'], ['f7', 'Kg7'], ['Ke4', '']]",1-0
RUS-CHN Match Rapid,Sochi RUS,2009.08.22,8,Ding Liren,"Vitiugov,N",,,A43,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['d5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['h3', 'O-O'], ['Bg5', 'h6'], ['Be3', 'Na6'], ['Qd2', 'Kh7\n'], ['g4', 'Nc7'], ['g5', 'hxg5'], ['Nxg5+', 'Kg8'], ['Bg2', 'b5'], ['Ne2', 'Nh5'], ['Bf3', 'Nf6'], ['h4', 'Bg4\n'], ['Ng3', 'Bxf3'], ['Nxf3', 'Ng4'], ['h5', 'b4'], ['Rb1', 'e6'], ['Bg5', 'f6'], ['h6', 'fxg5'], ['hxg7', 'Kxg7\n'], ['Qxg5', 'Qxg5'], ['Nxg5', 'exd5'], ['Rh7+', 'Kf6'], ['f4', 'Ne6'], ['Nxe6', 'Kxe6'], ['f5+', 'gxf5\n'], ['exf5+', 'Kf6'], ['Ke2', 'Rh8'], ['Rbh1', 'Rxh7'], ['Rxh7', 'Kg5'], ['Rg7+', 'Kf4'], ['Nh5+', 'Kxf5\n'], ['Ng3+', '']]",1/2-1/2
RUS-CHN Match Rapid,Sochi RUS,2009.08.22,9,"Timofeev,Arty",Ding Liren,,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'Qxd5'], ['Ngf3', 'cxd4'], ['Bc4', 'Qd6'], ['Bb3', 'Nc6'], ['Nc4', 'Qd8\n'], ['O-O', 'Nf6'], ['Qe2', 'd3'], ['cxd3', 'Be7'], ['d4', 'O-O'], ['Nce5', 'Nxd4'], ['Nxd4', 'Qxd4'], ['Bg5', 'Nd5\n'], ['Rfd1', 'Qb4'], ['Bxe7', 'Nxe7'], ['Rac1', 'Nc6'], ['Nxc6', 'bxc6'], ['Rxc6', 'Bb7'], ['Qc4', 'Qxc4\n'], ['Rxc4', 'Bd5'], ['Rc3', 'Bxb3'], ['Rxb3', 'Rfb8'], ['Rxb8+', 'Rxb8'], ['b3', 'g5'], ['Kf1', 'a5'], ['Rd4', 'h5\n'], ['f3', 'Kg7'], ['h4', 'Rb5'], ['hxg5', 'Rxg5'], ['a4', 'Kf6'], ['b4', 'axb4'], ['Rxb4', 'Ra5'], ['Ke2', 'e5\n'], ['Kd3', 'Kf5'], ['Kc3', 'Ra8'], ['Re4', 'f6'], ['Kb3', 'Rb8+'], ['Ka3', 'Rg8'], ['Re2', 'Kf4'], ['a5', 'f5\n'], ['Kb4', 'Ra8'], ['Ra2', 'e4'], ['fxe4', 'fxe4'], ['a6', 'e3'], ['Kc3', 'e2'], ['Kd2', 'Kg3'], ['Kxe2', 'Kxg2\n'], ['Ke3+', 'Kg3'], ['a7', 'h4'], ['Ra6', 'Re8+'], ['Kd2', 'h3'], ['a8=Q', 'Rxa8'], ['Rxa8', 'h2'], ['Rg8+', 'Kf2\n'], ['Rh8', 'Kg2'], ['Rxh2+', 'Kxh2']]",1/2-1/2
RUS-CHN Match Rapid,Sochi RUS,2009.08.22,10,Ding Liren,"Malakhov,V",,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'a6'], ['e3', 'b5'], ['c5', 'g6'], ['Bd3', 'Bg7'], ['e4', 'dxe4'], ['Nxe4', 'Nxe4\n'], ['Bxe4', 'Be6'], ['a4', 'Bd5'], ['Qc2', 'O-O'], ['O-O', 'e6'], ['Bf4', 'Nd7'], ['Bxd5', 'exd5'], ['b4', 'Re8\n'], ['Rfe1', 'Rxe1+'], ['Rxe1', 'Nf8'], ['Qd3', 'Ne6'], ['Bd6', 'Qd7'], ['Ra1', 'Qb7'], ['h4', 'Re8'], ['Ne5', 'bxa4\n'], ['Rxa4', 'Qb5'], ['Qxb5', 'axb5'], ['Ra6', 'Bxe5'], ['Bxe5', 'Rc8'], ['g4', 'Nf8'], ['f4', 'Ne6'], ['Kf2', 'h5\n'], ['gxh5', 'gxh5'], ['Kf3', 'Ng7'], ['Ra2', 'f6'], ['Bxf6', 'Nf5'], ['Ra7', 'Re8'], ['Kf2', 'Re6'], ['Be5', 'Re7\n'], ['Ra8+', 'Kf7'], ['Rh8', 'Ke6'], ['Rc8', 'Ra7'], ['Rxc6+', 'Kd7'], ['Rf6', 'Ra2+'], ['Kf3', 'Ra3+'], ['Ke2', 'Ng3+\n'], ['Kd1', 'Ne4'], ['Rh6', 'Rd3+'], ['Ke2', 'Rc3'], ['f5', 'Rc2+'], ['Kd1', 'Rc4'], ['Rh7+', 'Ke8'], ['f6', 'Rxb4\n'], ['c6', 'Rc4'], ['c7', '']]",1-0
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,1,Ding Liren,"Tomashevsky,E",,,E91,"[['d4', 'd6'], ['Nf3', 'Bg4'], ['c4', 'Nd7'], ['Nc3', 'g6'], ['e4', 'Bg7'], ['Be2', 'c5'], ['d5', 'Ngf6'], ['O-O', 'O-O\n'], ['h3', 'Bxf3'], ['Bxf3', 'a6'], ['Be2', 'Qc7'], ['a4', 'e6'], ['dxe6', 'fxe6'], ['Bg5', 'Rae8'], ['Qd2', 'Ne5\n'], ['Rad1', 'Nf7'], ['Bf4', 'Rd8'], ['Bh2', 'Qa5'], ['f4', 'Nd7'], ['f5', 'exf5'], ['exf5', 'Be5'], ['fxg6', 'hxg6\n'], ['Bg4', 'Bxh2+'], ['Kxh2', 'Nde5'], ['Be6', 'Kg7'], ['Qf4', 'Rde8'], ['Qf6+', 'Kh7'], ['Ne4', 'Qd8'], ['Bd5', 'Qe7\n'], ['Ng5+', 'Kh6'], ['Ne6', 'Qxf6'], ['Rxf6', 'Rh8'], ['Rdf1', 'Ng5'], ['Nxg5', 'Kxg5'], ['Rxd6', 'Rd8\n'], ['Re6', 'Rde8'], ['Rb6', 'Ng4+'], ['Kg3', 'Ne3'], ['Rf3', 'Nxd5'], ['cxd5', 'Rh7'], ['Rff6', 'Rg7'], ['h4+', 'Kh5\n'], ['Rbe6', 'Rxe6'], ['dxe6', 'g5'], ['hxg5', 'Kxg5'], ['Rf7', 'Rg6'], ['e7', 'Re6'], ['a5', 'Kg6'], ['e8=Q', 'Rxe8\n'], ['Rxb7', 'Re2'], ['Kf3', 'Rc2'], ['g4', 'Kg5'], ['Rg7+', 'Kf6'], ['Ra7', 'Ke5'], ['Rxa6', 'Rxb2'], ['Rc6', 'Rb3+\n'], ['Ke2', 'Kd5'], ['Rb6', 'Rg3'], ['Rg6', 'Ra3'], ['a6', 'c4'], ['g5', 'Ra2+'], ['Ke3', 'Ra3+'], ['Kd2', 'Ra2+\n'], ['Kc3', 'Ra3+'], ['Kb2', 'Rb3+'], ['Kc2', 'Ra3'], ['Rf6', 'Ke5'], ['Rb6', 'Kd4'], ['g6', 'Ra2+'], ['Kb1', 'Rg2\n'], ['a7', '']]",1-0
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,2,"Nepomniachtchi,I",Ding Liren,,,C11,"[['e4', 'e6'], ['Nc3', 'd5'], ['Nf3', 'Nf6'], ['e5', 'Nfd7'], ['d4', 'c5'], ['dxc5', 'Nc6'], ['Bf4', 'Nxc5'], ['h4', 'a6\n'], ['a3', 'b5'], ['h5', 'h6'], ['Rh3', 'Bb7'], ['b4', 'Ne4'], ['Nxe4', 'dxe4'], ['Nd2', 'Qd4'], ['c3', 'Qd5'], ['c4', 'bxc4\n'], ['Nxc4', 'Rd8'], ['Nb6', 'Qxd1+'], ['Rxd1', 'Be7'], ['Rg3', 'Rxd1+'], ['Kxd1', 'Bg5'], ['Bxg5', 'hxg5\n'], ['Rxg5', 'Rh7'], ['Nc4', 'f6'], ['exf6', 'gxf6'], ['Rc5', 'Kd7'], ['g4', 'e5'], ['Ne3', 'Nd4'], ['Ra5', 'Kd6\n'], ['Bxa6', 'Bc6'], ['Bc4', 'f5'], ['Nxf5+', 'Nxf5'], ['gxf5', 'Rxh5'], ['f6', 'Rf5'], ['Ra6', 'Kc7'], ['Ke1', 'Bb7\n'], ['Re6', 'Bc8'], ['Re7+', 'Kd6'], ['Re8', 'Bd7'], ['f7', '']]",1-0
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,3,Ding Liren,"Vitiugov,N",,,A60,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['d5', 'e6'], ['c4', 'exd5'], ['cxd5', 'Bd6'], ['Nc3', 'Bc7'], ['d6', 'Ba5'], ['Bg5', 'h6\n'], ['Bh4', 'O-O'], ['e3', 'Bxc3+'], ['bxc3', 'b6'], ['Bd3', 'Bb7'], ['O-O', 'Re8'], ['Re1', 'g5'], ['Nxg5', 'hxg5\n'], ['Bxg5', 'Re6'], ['Bf5', 'Qe8'], ['Bxe6', 'Qxe6'], ['e4', 'Nxe4'], ['f3', 'Qg6'], ['Bf4', 'Qf6'], ['Qc1', 'Nxd6\n'], ['Bxd6', 'Nc6'], ['Qf4', 'Qxf4'], ['Bxf4', 'Na5'], ['Re7', 'Bc6'], ['Rae1', 'Nc4'], ['Re8+', 'Rxe8'], ['Rxe8+', 'Kg7\n'], ['Re2', 'a5'], ['Kf2', 'b5'], ['h4', 'b4'], ['h5', 'bxc3'], ['Rc2', 'Nb2'], ['Be5+', 'Kh6'], ['Bxc3', 'Na4\n'], ['g4', 'd5'], ['Bd2+', 'Kg7'], ['h6+', 'Kg6'], ['g5', 'd4'], ['f4', 'Be4'], ['Rc4', 'Nb2'], ['Rc1', 'Nd3+\n'], ['Ke2', 'Nxc1+'], ['Bxc1', 'c4'], ['Bb2', 'c3'], ['Ba1', 'a4'], ['a3', 'Kh5']]",0-1
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,4,"Timofeev,Arty",Ding Liren,,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Nd7'], ['Nf3', 'Ngf6'], ['Nxf6+', 'Nxf6'], ['Ne5', 'Nd7'], ['Bf4', 'Nxe5\n'], ['Bxe5', 'Bd7'], ['Bd3', 'Bc6'], ['Qg4', 'h5'], ['Qe2', 'Qd7'], ['O-O-O', 'O-O-O'], ['Kb1', 'f6'], ['Bf4', 'Bxg2\n'], ['Rhg1', 'Bc6'], ['h4', 'Bd6'], ['Bxd6', 'cxd6'], ['f4', 'Kb8'], ['Rg3', 'Rhe8'], ['Qxh5', 'e5'], ['fxe5', 'dxe5\n'], ['dxe5', 'fxe5'], ['a3', 'e4'], ['Be2', 'Qc7'], ['Rxd8+', 'Rxd8'], ['Qg5', 'Rd7'], ['h5', 'a6'], ['Rg1', 'Qb6\n'], ['Qf4+', 'Ka7'], ['Rg3', 'Qd4'], ['Qe3', 'Qxe3'], ['Rxe3', 'Kb6'], ['b4', 'Kc7'], ['Kc1', 'Kd6'], ['Kd2', 'Ke5+\n'], ['Ke1', 'Rf7'], ['Rg3', 'Kf4'], ['Rg6', 'Ke3'], ['Rg3+', 'Kf4'], ['Rg6', 'e3'], ['Rg4+', 'Ke5'], ['Bc4', 'Rf4\n'], ['Rg5+', 'Kd4'], ['Bd3', 'Rh4'], ['Rxg7', 'Bf3'], ['Rg1', 'Rxh5'], ['Be2', 'Bxe2'], ['Kxe2', 'Rh2+'], ['Kd1', 'Rd2+\n'], ['Ke1', 'Rxc2'], ['Rg7', 'Ra2'], ['Rxb7', 'Rxa3'], ['b5', 'a5'], ['b6', 'Kc5'], ['Rb8', 'Kc6'], ['b7', 'Kc7\n'], ['Re8', 'Kxb7'], ['Ke2', 'a4'], ['Re6', 'Rb3'], ['Re4', 'a3'], ['Ra4', 'Kb6'], ['Kd1', 'Kb5'], ['Re4', 'Rc3\n'], ['Ke1', '']]",0-1
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,5,Ding Liren,"Malakhov,V",,,D45,"[['d4', 'd5'], ['c4', 'c6'], ['Nc3', 'Nf6'], ['e3', 'a6'], ['Qc2', 'e6'], ['Nf3', 'c5'], ['cxd5', 'exd5'], ['Be2', 'Nc6\n'], ['O-O', 'Be6'], ['Rd1', 'Nb4'], ['Qb1', 'Qc8'], ['e4', 'dxe4'], ['Nxe4', 'Be7'], ['Bg5', 'c4'], ['Bxf6', 'gxf6\n'], ['Qc1', 'b5'], ['Qh6', 'Nd5'], ['Qg7', 'Kd7'], ['b3', 'c3'], ['Nc5+', 'Bxc5'], ['dxc5', 'Ke7'], ['Rxd5', 'Bxd5\n'], ['Re1', 'Be6'], ['Nd4', 'Rg8'], ['Qxh7', 'Qxc5'], ['Nxe6', 'Kxe6'], ['Bf3+', 'Kd6'], ['Qxf7', '']]",1-0
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,6,"Tomashevsky,E",Ding Liren,,,D03,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bg5', 'Bg7'], ['Nbd2', 'O-O'], ['c3', 'd5'], ['e3', 'Nbd7'], ['Be2', 'Re8'], ['O-O', 'e5\n'], ['Rc1', 'c6'], ['Bh4', 'a5'], ['c4', 'exd4'], ['Nxd4', 'Ne5'], ['cxd5', 'Qxd5'], ['Nc4', 'Nxc4'], ['Bxc4', 'Qd7\n'], ['Qf3', 'Qg4'], ['Bg3', 'Qxf3'], ['gxf3', 'Nd7'], ['Rfd1', 'Nb6'], ['Be2', 'Be6'], ['Nxe6', 'Rxe6'], ['Rc2', 'Be5\n'], ['Kf1', 'Bxg3'], ['hxg3', 'Kf8'], ['e4', 'Ke7'], ['Rd3', 'a4'], ['Rd4', 'Nd7'], ['a3', 'Rd6'], ['Rb4', 'b5\n'], ['f4', 'f6'], ['Bg4', 'Nb6'], ['e5', 'fxe5'], ['fxe5', 'Rd5'], ['Rxc6', 'Nc4'], ['Rcxc4', 'bxc4'], ['Bf3', 'Rda5\n'], ['Bxa8', 'Rxa8'], ['Rxc4', 'Ke6'], ['f4', 'Kf5'], ['Kf2', 'Rb8'], ['Rb4', 'Rc8'], ['Kf3', 'h5'], ['Rb6', 'Rf8\n'], ['Ra6', 'g5'], ['Rh6', 'Rd8']]",1-0
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,7,Ding Liren,"Nepomniachtchi,I",,,D95,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd5'], ['e3', 'Nc6'], ['Qb3', 'dxc4'], ['Bxc4', 'O-O'], ['Be2', 'a6\n'], ['O-O', 'b5'], ['Rd1', 'Bb7'], ['d5', 'Na5'], ['Qb4', 'c6'], ['a4', 'Nxd5'], ['Nxd5', 'cxd5'], ['axb5', 'axb5\n'], ['Qxb5', 'Ba6'], ['Qxa5', 'Bxe2'], ['Qxa8', 'Bxd1'], ['Qxd8', 'Rxd8'], ['Nd4', 'e5'], ['Nc6', 'Re8'], ['Bd2', 'Be2\n'], ['Bc3', 'f6'], ['f4', 'Bb5'], ['Nb4', 'd4'], ['exd4', 'exf4'], ['Ra5', 'Be2'], ['Nd5', 'g5'], ['Ra7', 'Bc4\n'], ['Ne7+', 'Kh8'], ['Nf5', 'Bf8'], ['Rc7', 'Bd3'], ['g4', 'h5'], ['d5', 'hxg4'], ['Bxf6+', 'Kg8'], ['Ne7+', 'Kf7\n'], ['d6', 'Kxf6'], ['d7', 'Rd8'], ['Nc6', 'Bc5+'], ['Kg2', 'Bb6'], ['Rb7', 'Be4+'], ['Kf1', 'Bxc6'], ['Rxb6', 'Rxd7\n'], ['Rxc6+', 'Kf5'], ['Rc5+', 'Ke4'], ['Rxg5', 'Kf3'], ['Ke1', 'Rb7'], ['Rc5', 'Rxb2'], ['Rc3+', 'Kg2'], ['Rc4', 'Kxh2\n'], ['Rxf4', 'g3'], ['Rh4+', 'Kg1'], ['Rh3', 'g2'], ['Rh4', 'Rb8']]",0-1
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,8,"Vitiugov,N",Ding Liren,,,D00,"[['d4', 'Nf6'], ['Bg5', 'd5'], ['Bxf6', 'exf6'], ['e3', 'Bd6'], ['c4', 'dxc4'], ['Bxc4', 'f5'], ['Nc3', 'O-O'], ['Nge2', 'Nd7\n'], ['Qc2', 'Nf6'], ['a3', 'c6'], ['h3', 'Re8'], ['O-O-O', 'b5'], ['Bb3', 'a5'], ['g4', 'b4'], ['axb4', 'axb4\n'], ['Na4', 'Ne4'], ['Nf4', 'Bxf4'], ['exf4', 'Be6'], ['Bxe6', 'Rxe6'], ['f3', 'b3'], ['Qxb3', 'Nf2'], ['d5', 'Rd6\n'], ['Nc5', 'Nxh1'], ['Nb7', 'Qb8'], ['Kc2', 'Rxd5'], ['Rxd5', 'cxd5'], ['Qxd5', 'Qc7+'], ['Nc5', 'Rc8'], ['b4', 'Ng3\n'], ['Kb3', 'Ne2'], ['gxf5', 'Nxf4'], ['Qe4', 'Nxh3'], ['f6', 'g6'], ['Qh4', 'Nf4'], ['Qg5', 'Ne6'], ['Qh6', 'Qb6']]",0-1
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,9,Ding Liren,"Timofeev,Arty",,,D30,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'c6'], ['Bg5', 'Be7'], ['Bxe7', 'Qxe7'], ['Nc3', 'Nf6'], ['e3', 'O-O'], ['Be2', 'b6\n'], ['a4', 'dxc4'], ['Bxc4', 'Bb7'], ['O-O', 'c5'], ['dxc5', 'Qxc5'], ['b3', 'Nc6'], ['Rc1', 'Rfd8'], ['Qe2', 'Qb4\n'], ['Na2', 'Qa3'], ['Nc3', 'Na5'], ['Nb5', 'Qb4'], ['Nbd4', 'Ne4'], ['Nxe6', 'fxe6'], ['Bxe6+', 'Kh8'], ['Ne5', 'Ng5\n'], ['Bf5', 'Rf8'], ['Bb1', 'Qh4'], ['f4', 'Nf7'], ['Nd7', 'Rfd8'], ['Rc7', 'Qe7'], ['Qh5', 'Nh6'], ['Rd1', 'Bc6\n'], ['Ne5', 'Qxc7'], ['Rxd8+', 'Rxd8'], ['Ng6+', 'hxg6']]",0-1
RUS-CHN Match Blitz,Sochi RUS,2009.08.23,10,"Malakhov,V",Ding Liren,,,E70,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Bd3', 'O-O'], ['Nge2', 'Nc6'], ['O-O', 'Nh5'], ['Be3', 'e5\n'], ['d5', 'Ne7'], ['a4', 'f5'], ['exf5', 'gxf5'], ['f4', 'exf4'], ['Nxf4', 'Nxf4'], ['Bxf4', 'Ng6'], ['Bd2', 'Qh4\n'], ['Qe1', 'Qd4+'], ['Qe3', 'Bd7'], ['Qxd4', 'Bxd4+'], ['Kh1', 'Ne5'], ['Be2', 'Ng4'], ['h3', 'Nf2+'], ['Kh2', 'Kh8\n'], ['Be1', 'Be5+'], ['g3', 'Ne4'], ['Nxe4', 'fxe4'], ['Rxf8+', 'Rxf8'], ['a5', 'Kg7'], ['Ra3', 'Bd4'], ['Kg2', 'Kf6\n'], ['g4', 'Be8'], ['Bh4+', 'Kg7'], ['Rb3', 'b6'], ['axb6', 'axb6'], ['Ra3', 'Bxb2'], ['Ra7', 'Rf7'], ['Bd8', 'Bd4\n'], ['Rxc7', 'Rxc7'], ['Bxc7', 'Bc5'], ['Kg3', 'Bg6'], ['Kf4', 'e3'], ['Bd8', 'h6'], ['h4', 'Bc2'], ['h5', 'Bb1\n'], ['g5', 'hxg5+'], ['Kxg5', 'Kh7'], ['Bf6', 'Bc2'], ['Bb2', 'Bb1'], ['Kf4', 'Kh6'], ['Bc1', 'Bc2'], ['Bxe3', 'Bxe3+\n'], ['Kxe3', 'Kg5'], ['Kd4', 'Ba4'], ['Kc3', 'Bd7'], ['Kb4', 'Be8'], ['Bd1', 'Bd7'], ['Ba4', 'Bc8'], ['Be8', 'Ba6\n'], ['Kc3', 'Kh6'], ['Kd4', 'Kg5'], ['Kc3', 'Kh6'], ['Kb4', 'Kg5'], ['Bb5', 'Bc8'], ['Ka4', 'Bb7'], ['Be8', 'Ba6\n'], ['Kb4', 'Kh6'], ['Bg6', 'Kg5'], ['Kc3', 'Kh6'], ['Kd4', 'Kg5'], ['Be8', 'Bb7'], ['Ke4', 'Ba6'], ['Bb5', 'Bc8\n'], ['Be8', 'Bf5+'], ['Kd4', 'Bc8'], ['Kc3', 'Ba6'], ['Kb4', 'Kh6'], ['Bb5', 'Bc8'], ['Bc6', 'Ba6'], ['Bb7', 'Bxb7\n'], ['Kb5', 'Kxh5'], ['Kxb6', 'Bc8'], ['Kc7', 'Ba6'], ['Kxd6', 'Bxc4'], ['Kc5', 'Bxd5'], ['Kxd5', '']]",1/2-1/2
Maotai Prince Cup Kings,JinZhou CHN,2009.09.17,1,Wang Hao,Ding Liren,,,E99,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Ne1', 'Nd7'], ['f3', 'f5'], ['g4', 'Kh8'], ['Nd3', 'Ng8'], ['Kh1', 'fxg4'], ['fxg4', 'Bh6'], ['Bxh6', 'Rxf1+\n'], ['Qxf1', 'Nxh6'], ['Qf2', 'g5'], ['Rf1', 'a6'], ['c5', 'dxc5'], ['Nxc5', 'Nxc5'], ['Qxc5', 'Kg7'], ['Qf2', 'Qe7\n'], ['d6', 'Qxd6'], ['Nd5', 'Bd7'], ['Nf6', 'Be8'], ['Qe3', 'Bg6'], ['Qxg5', 'Ng8'], ['Nxg8', 'Rxg8'], ['Rd1', 'h6\n'], ['Rxd6', 'hxg5'], ['Re6', 'Re8'], ['Rxe8', 'Bxe8'], ['b4', 'Bb5'], ['Bxb5', 'axb5'], ['Kg2', 'b6'], ['Kf3', 'c5\n'], ['a3', '']]",1/2-1/2
