Vienna,Vienna,1910.??.??,?,"Levenfish, Grigory","List, Paul",,,C83,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Be7'], ['Nbd2', 'Bg4'], ['Qe1', 'Nc5'], ['Bc2', 'Qd7'], ['Nd4', 'Nxd4'], ['cxd4', 'Ne6'], ['Nb3', 'c5\n'], ['f4', 'c4'], ['f5', 'cxb3'], ['fxe6', 'fxe6'], ['axb3', 'Qc6'], ['Bd3', 'g6'], ['Qg3', 'Bf5'], ['Bxf5', 'exf5\n'], ['Bh6', 'g5'], ['Bg7', 'Rg8'], ['Bf6', 'Bxf6'], ['Rac1', 'Qb6'], ['exf6', 'Qxd4+'], ['Kh1', 'Qxf6'], ['Rc7', 'Rg7\n'], ['Rxg7', 'Qxg7']]",1-0
Leningrad-ch,Leningrad,1930.??.??,?,"Rokhlin, Yakov","Levenfish, Grigory",,,B40,"[['Nf3', 'c5'], ['e4', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Bb4'], ['Bd3', 'Nc6'], ['Nxc6', 'bxc6'], ['O-O', 'e5\n'], ['Qe2', 'd6'], ['Nd1', 'Bg4'], ['f3', 'Be6'], ['c4', 'Nh5'], ['Kh1', 'Bc5'], ['g3', 'g6'], ['Be3', 'Qb6'], ['Rb1', 'O-O\n'], ['Bxc5', 'Qxc5'], ['Ne3', 'Ng7'], ['b4', 'Qb6'], ['Rfc1', 'Rad8'], ['b5', 'f5'], ['bxc6', 'Qxc6'], ['Nd5', 'Rf7\n'], ['Qe3', 'Rdf8'], ['Qg5', 'Kh8'], ['Rc2', 'fxe4'], ['Bxe4', 'Bf5'], ['Ne7', 'Bxe4'], ['Nxc6', 'Rxf3'], ['Kg1', 'Bxc2\n'], ['Re1', 'Nf5'], ['c5', 'Ne3'], ['Rxe3', 'Rf1+'], ['Kg2', 'R8f2+'], ['Kh3', 'Rh1'], ['Qd8+', 'Kg7'], ['Qe7+', 'Kh6\n'], ['Qh4+', '']]",1/2-1/2
Leningrad-ch,Leningrad,1930.??.??,?,"Ragozin, Viacheslav","Levenfish, Grigory",,,B10,"[['e4', 'c6'], ['Nf3', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Ne4'], ['Ne2', 'Bg4'], ['d3', 'Nc5'], ['d4', 'Ne6'], ['c3', 'f6'], ['h3', 'Bxf3\n'], ['gxf3', 'fxe5'], ['dxe5', 'Nd7'], ['f4', 'g6'], ['h4', 'Bh6'], ['Bh3', 'Ndf8'], ['h5', 'Ng7'], ['Qd3', 'e6\n'], ['hxg6', 'hxg6'], ['Be3', 'Qa5'], ['Nd4', 'O-O-O'], ['a4', 'Nf5'], ['b4', 'Qc7'], ['Nb3', 'Nd7'], ['a5', 'a6\n'], ['Ke2', 'Bf8'], ['Bxf5', 'Rxh1'], ['Rxh1', 'gxf5'], ['Rh7', 'c5'], ['Bxc5', 'Qc6'], ['Nd4', 'Qa4'], ['Nxe6', 'Bxc5\n'], ['Nxd8', 'Qa2+'], ['Kd1', 'Qa4+'], ['Qc2', 'Qa1+'], ['Ke2', 'Qg1'], ['bxc5', '']]",1-0
Leningrad-ch,Leningrad,1930.??.??,?,"Levenfish, Grigory","Ilyin Zhenevsky, Alexander",,,B85,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'e6'], ['O-O', 'Be7'], ['Kh1', 'O-O\n'], ['f4', 'a6'], ['Be3', 'Qc7'], ['Qe1', 'Na5'], ['Rd1', 'Nc4'], ['Bc1', 'b5'], ['b3', 'Nb6'], ['Bd3', 'Bb7'], ['Bb2', 'Rac8\n'], ['Qe3', 'Nbd7'], ['b4', 'Rfd8'], ['Qg3', 'Nf8'], ['a3', 'Qb6'], ['e5', 'Ne8'], ['f5', 'dxe5'], ['fxe6', 'f6\n'], ['Nf5', 'Ng6'], ['Nh6+', 'gxh6'], ['Bxg6', 'hxg6'], ['Qxg6+', 'Ng7'], ['Qf7+', 'Kh7'], ['Rd7', 'Rxd7\n'], ['exd7', 'Rd8'], ['Qxe7', 'Qc6'], ['Rf2', 'Rxd7'], ['Qxf6', 'Qxf6'], ['Rxf6', 'Rd2'], ['Rxh6+', 'Kg8\n'], ['Rb6', 'Bxg2+'], ['Kg1', 'Rxc2'], ['Nd1', 'Bc6'], ['Bxe5', 'Nf5'], ['Nc3', 'Rg2+'], ['Kf1', 'Ne3+'], ['Ke1', 'Nc2+\n'], ['Kf1', '']]",1/2-1/2
URS-ch08,Leningrad,1933.??.??,?,"Verlinsky, Boris","Levenfish, Grigory",,,A31,"[['c4', 'Nf6'], ['Nc3', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'g6'], ['g3', 'd6'], ['Bg2', 'Bd7'], ['O-O', 'Bg7\n'], ['b3', 'Qc8'], ['Bb2', 'Bh3'], ['Nd5', 'Bxg2'], ['Kxg2', 'Nxd5'], ['cxd5', 'Nb4'], ['e4', 'Qd7'], ['Qd2', 'Na6\n'], ['b4', 'O-O'], ['a3', 'Rac8'], ['Rac1', 'Qg4'], ['f3', 'Qd7'], ['Nb3', 'Bxb2'], ['Qxb2', 'Rxc1'], ['Rxc1', 'Rc8\n'], ['Na5', 'Rc7'], ['Kf2', 'Qh3'], ['Kg1', 'Qc8'], ['Rxc7', 'Nxc7'], ['Qc3', 'f6'], ['Kg2', 'Kf7'], ['a4', 'Qb8\n'], ['b5', 'Na8'], ['Nb3', 'Nb6'], ['a5', 'Nd7'], ['f4', 'Qd8'], ['Kf3', 'Nc5'], ['Nd4', 'Qd7'], ['g4', 'h5'], ['h3', 'hxg4+\n'], ['hxg4', 'Qd8'], ['Qe1', 'Qh8'], ['Kg2', 'f5'], ['e5', 'fxg4'], ['exd6', 'exd6'], ['Ne6', 'Qb2+'], ['Kg3', 'Qb3+\n'], ['Kxg4', 'Qxd5'], ['Ng5+', 'Kf8'], ['Qa1', 'Kg8'], ['Qf6', 'Qd1+'], ['Kg3', 'Qg1+'], ['Kf3', '']]",1/2-1/2
URS-ch08,Leningrad,1933.??.??,?,"Kan, Ilia Abramovich","Levenfish, Grigory",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d4', 'exd4'], ['Ng5', 'Ne5'], ['Bb3', 'h6'], ['f4', 'hxg5'], ['fxe5', 'Nxe4\n'], ['O-O', 'd5'], ['exd6', 'Qxd6'], ['Bxf7+', 'Kd8'], ['g3', 'd3'], ['Qe1', 'Qb6+'], ['Be3', 'Bc5'], ['Rf3', 'Bg4\n'], ['Bxc5', 'Qxc5+'], ['Re3', 'Be2']]",0-1
URS-ch08,Leningrad,1933.??.??,?,"Levenfish, Grigory","Bohatirchuk, Fedor Parfenovich",,,C90,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'd6'], ['Re1', 'Bg4'], ['c3', 'Be7'], ['d3', 'O-O\n'], ['Nbd2', 'b5'], ['Bb3', 'Na5'], ['Bc2', 'c5'], ['Nf1', 'Qc7'], ['Ne3', 'Be6'], ['d4', 'Rfd8'], ['Bd2', 'Rab8\n'], ['b3', 'Rdc8'], ['dxe5', 'dxe5'], ['Nd5', 'Bxd5'], ['exd5', 'Nxd5'], ['Nxe5', 'Rd8'], ['Bxh7+', 'Kf8\n'], ['Qh5', 'Bf6'], ['Bc2', 'g6'], ['Qh7', 'Bxe5'], ['Rxe5', 'Qxe5'], ['Re1', 'Qxe1+'], ['Bxe1', 'Nc6'], ['g3', 'Nf6\n'], ['Qh8+', 'Ke7'], ['Qh6', 'Rd5'], ['Bd2', 'Ne5'], ['Kg2', 'Neg4'], ['Qf4', 'Rbd8'], ['Bc1', 'g5'], ['Qc7+', 'R8d7\n'], ['Qc8', 'R7d6'], ['h3', 'Nh6'], ['h4', 'Ne8'], ['Bxg5+', 'Kf8'], ['Be4', '']]",1-0
URS-ch08,Leningrad,1933.??.??,?,"Levenfish, Grigory","Chekhover, Vitaly",,,E13,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['Nc3', 'Bb4'], ['Bg5', 'Bb7'], ['Qc2', 'h6'], ['Bh4', 'c5'], ['a3', 'Bxc3+\n'], ['Qxc3', 'cxd4'], ['Nxd4', 'd5'], ['Bxf6', 'Qxf6'], ['cxd5', 'O-O'], ['Nb5', 'e5'], ['Qf3', 'Qd8'], ['e4', 'f5\n'], ['exf5', 'Bxd5'], ['Qd3', 'Nc6'], ['Nc7', 'Nd4'], ['Nxd5', 'Qxd5'], ['Qc4', 'Qxc4'], ['Bxc4+', 'Kh8\n'], ['O-O', 'Rxf5'], ['Bd3', 'Rf6'], ['Rae1', 'Rd8'], ['Bb1', 'Nb3'], ['Re2', 'Rd2'], ['Rxe5', 'Rf8'], ['h4', 'Rxb2\n'], ['Rb5', 'Re8'], ['Bg6', 'Rd8'], ['Re1', 'Kg8'], ['f3', 'a5'], ['Rbe5', '']]",1-0
URS-ch08,Leningrad,1933.??.??,?,"Levenfish, Grigory","Romanovsky, Peter Arsenievich",,,E12,"[['d4', 'Nf6'], ['Nf3', 'b6'], ['c4', 'e6'], ['Nc3', 'Bb7'], ['Bg5', 'h6'], ['Bh4', 'Be7'], ['Qc2', 'd5'], ['e3', 'Nbd7\n'], ['Be2', 'O-O'], ['O-O', 'Ne4'], ['Bxe7', 'Qxe7'], ['Nxe4', 'dxe4'], ['Nd2', 'f5'], ['f3', 'exf3'], ['Bxf3', 'Bxf3\n'], ['Rxf3', 'e5'], ['Raf1', 'Qg5'], ['Qa4', 'Rad8'], ['Rg3', 'Qe7'], ['Rgf3', 'exd4'], ['exd4', 'Nc5'], ['Qb4', 'Rxd4\n'], ['Nb3', 'a5'], ['Qb5', 'Nxb3'], ['axb3', 'g6'], ['h3', 'Rfd8'], ['Qc6', 'R4d6'], ['Qb7', 'Rd2'], ['Rg3', 'Qc5+\n'], ['Kh1', 'Kf7'], ['Qe4', 'Rd1'], ['Rf3', 'Qd4'], ['Qc6', 'Qe5'], ['Rf2', 'R8d3'], ['Kg1', 'Qd6'], ['Qb7', 'Qc5\n'], ['Kh2', 'Qe5+'], ['Kh1', 'Rxf1+'], ['Rxf1', 'Rxb3'], ['Rd1', 'Re3'], ['Qc8', 'Re1+'], ['Rxe1', 'Qxe1+\n'], ['Kh2', 'Qe5+'], ['Kh1', 'g5'], ['Qd7+', 'Kg6'], ['b3', 'Kh5'], ['Qd1+', 'Kh4'], ['Qd2', 'Qg3'], ['c5', 'bxc5\n'], ['Qxa5', 'Qxb3'], ['Qe1+', 'Qg3'], ['Qe6', 'h5'], ['Qxf5', 'Qe3'], ['Qd7', 'c4'], ['Qxc7', 'Qc1+'], ['Kh2', 'Qf4+\n'], ['g3+', '']]",1-0
URS-ch08,Leningrad,1933.??.??,?,"Levenfish, Grigory","Yudovich, Mikhail Sr",,,C08,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'exd5'], ['Ngf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Be7'], ['dxc5', 'O-O\n'], ['Nb3', 'Ne4'], ['Be3', 'Bg4'], ['Bxc6', 'bxc6'], ['Qd3', 'Bxf3'], ['gxf3', 'Ng5'], ['f4', 'Qd7'], ['f3', 'Ne6\n'], ['Kh1', 'f5'], ['Rg1', 'a5'], ['a4', 'Bf6'], ['Rad1', 'Rab8'], ['Nxa5', 'Rxb2'], ['Nb3', 'Qe8'], ['Bc1', 'Ra2\n'], ['Rde1', 'Bh4'], ['Re2', 'Rxa4'], ['Qe3', 'Kf7'], ['Bb2', 'Rg8'], ['Qe5', 'Bf6'], ['Rxg7+', 'Bxg7'], ['Qxf5+', 'Ke7\n'], ['Rxe6+', 'Kd8'], ['Rxe8+', '']]",1-0
URS-ch08,Leningrad,1933.??.??,?,"Goglidze, Victor Arsentievich","Levenfish, Grigory",,,E43,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Nf3', 'b6'], ['e3', 'Bb7'], ['Bd3', 'Ne4'], ['Qc2', 'f5'], ['O-O', 'Bxc3\n'], ['bxc3', 'O-O'], ['Nd2', 'Qh4'], ['f3', 'Nxd2'], ['Bxd2', 'd6'], ['g3', 'Qh5'], ['e4', 'Nd7'], ['Rae1', 'e5\n'], ['Kg2', 'f4'], ['g4', 'Qg6'], ['Rh1', 'Qf6'], ['Qb2', 'h5'], ['gxh5', 'Qh4'], ['Reg1', 'Nf6'], ['Be1', 'Qxh5\n'], ['h4', 'Kf7'], ['Kf2', 'Rh8'], ['Qb3', 'Ne8'], ['c5+', 'Kf8'], ['Rg5', 'Qf7'], ['Rf5', 'Nf6'], ['cxd6', 'Qxb3\n'], ['axb3', 'cxd6'], ['dxe5', 'dxe5'], ['Rxe5', 'Rd8'], ['Ke2', 'Rh5'], ['Rxh5', 'Nxh5'], ['Rg1', 'Rd6\n'], ['Rg5', 'Rh6'], ['Rf5+', 'Ke8'], ['Bb5+', 'Kd8'], ['Rf7', 'a6'], ['Rxb7', 'axb5'], ['Bf2', 'Ke8'], ['Rxb6', 'Ng3+\n'], ['Kd3', 'Rxh4'], ['Rxb5', 'Rh3'], ['Bxg3', 'Rxg3'], ['Kd4', 'Kd7'], ['Rf5', 'g5'], ['b4', 'Ke6'], ['b5', 'Rxf3\n'], ['Rxg5', 'Rf1'], ['Rf5', 'f3'], ['Ke3', '']]",1-0
URS-ch08,Leningrad,1933.??.??,?,"Rabinovich, Ilya Leontievich","Levenfish, Grigory",,,A04,"[['Nf3', 'e6'], ['b3', 'f5'], ['Bb2', 'Nf6'], ['c4', 'b6'], ['e3', 'Bb7'], ['Be2', 'Be7'], ['O-O', 'O-O'], ['Nc3', 'Qe8\n'], ['d3', 'a6'], ['Nd2', 'Qg6'], ['Bf3', 'd5'], ['Ne2', 'Nbd7'], ['cxd5', 'exd5'], ['Nc4', 'Rad8'], ['Ne5', 'Qh6\n'], ['Ng3', 'Ne8'], ['Nxd7', 'Rxd7'], ['Be5', 'Bd6'], ['Bxd6', 'Rxd6'], ['Ne2', 'g5'], ['g3', 'Ng7'], ['Rc1', 'Ne6\n'], ['Kh1', 'Qg7'], ['Qd2', 'c5'], ['d4', 'Qd7'], ['Bg2', 'Rc8'], ['Ng1', 'c4'], ['Nf3', 'b5'], ['Ne5', 'Qe7\n'], ['Bh3', 'Ng7'], ['g4', 'Rh6'], ['Bg2', 'fxg4'], ['Nxg4', 'Rh4'], ['Ne5', 'Rf8'], ['f3', 'Qd6'], ['Rg1', 'Bc8\n'], ['Bf1', 'Qh6'], ['Re1', 'c3'], ['Qg2', 'Bf5'], ['e4', 'Be6'], ['Bd3', 'Rff4'], ['Re2', 'Rxh2+'], ['Qxh2', 'Rh4\n'], ['f4', 'dxe4'], ['Bxe4', 'Qh5'], ['Qxh4', 'Qxh4+'], ['Rh2', 'Bh3'], ['Bd5+', 'Kf8'], ['Nf3', 'Qxf4'], ['Nxg5', 'Bf5\n'], ['Nxh7+', 'Bxh7'], ['Rxh7', 'Qxd4'], ['Rh8+', 'Ke7'], ['Bf3', 'c2'], ['Rc8', 'Qh4+'], ['Kg2', 'Nf5'], ['Kf1', 'Qf4']]",0-1
URS-ch08,Leningrad,1933.??.??,?,"Riumin, Nikolay Nikolaevich","Levenfish, Grigory",,,D37,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['Nf3', 'Nbd7'], ['e3', 'a6'], ['a4', 'Bb4'], ['Bd3', 'b6'], ['O-O', 'Bb7\n'], ['Qb3', 'Qe7'], ['Bd2', 'O-O'], ['Nxd5', 'Nxd5'], ['cxd5', 'Bxd2'], ['Nxd2', 'exd5'], ['Bf5', 'Nf6'], ['Rfc1', 'g6\n'], ['Bd3', 'Rfd8'], ['Rc2', 'a5'], ['Rac1', 'Ne8'], ['Nf3', 'Rd6'], ['g3', 'Ba6'], ['Ne1', 'Rdd8'], ['Bf1', 'Bxf1\n'], ['Kxf1', 'h5'], ['Nd3', 'Rd6'], ['Nf4', 'Rad8'], ['Qd3', 'Qd7'], ['b3', 'g5'], ['Ng2', 'Qh3'], ['Kg1', 'Nf6\n'], ['f3', 'Ne8'], ['Rf1', 'Rf6'], ['Rcf2', 'Qe6'], ['e4', 'dxe4'], ['fxe4', 'Rxf2'], ['Rxf2', 'Nf6'], ['Re2', 'Re8\n'], ['e5', 'Nd5'], ['Qf3', 'Qg4'], ['Qxg4', 'hxg4'], ['Kf2', 'c5'], ['dxc5', 'bxc5'], ['Ne3', 'Nxe3'], ['Rxe3', 'Kg7\n'], ['Kg2', 'Kg6'], ['h3', 'gxh3+'], ['Kxh3', 'Re6'], ['Rd3', 'Rxe5'], ['Rd6+', 'Kf5'], ['Ra6', 'g4+'], ['Kg2', 'Re2+\n'], ['Kf1', 'Rc2'], ['Rh6', 'f6'], ['Rh8', 'Ke4'], ['Rf8', 'f5'], ['Rf7', 'Rc3'], ['Kf2', 'Rf3+'], ['Kg2', 'Rxb3\n'], ['Re7+', 'Kd4']]",0-1
URS-ch09,Leningrad,1934.??.??,?,"Levenfish, Grigory","Ragozin, Viacheslav",,,C16,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Ne7'], ['Bd2', 'O-O'], ['a3', 'Ba5'], ['Bd3', 'Nd7'], ['Nf3', 'f6\n'], ['exf6', 'Nxf6'], ['Qe2', 'Re8'], ['g4', 'c5'], ['g5', 'Nh5'], ['Ne5', 'g6'], ['dxc5', 'Nf5'], ['O-O-O', 'Bxc3\n'], ['Bxc3', 'Qxg5+'], ['Kb1', 'Nf4'], ['Qf3', 'Nxd3'], ['Qxd3', 'b6'], ['Rhg1', 'Qe7'], ['c6', 'a5'], ['Qf3', 'Qh4\n'], ['Rg4', 'Qh5'], ['Rdg1', 'Kf8'], ['Qf4', 'Ra7'], ['Rg5', 'Qh3'], ['Nxg6+', 'hxg6'], ['Rxg6', 'Qh7'], ['Qg5', 'e5\n'], ['Bxe5', 'Be6'], ['Qf6+', 'Bf7'], ['Rg8+', 'Qxg8'], ['Rxg8+', 'Kxg8'], ['Qh8+', '']]",1-0
URS-ch09,Leningrad,1934.??.??,?,"Alatortsev, Vladimir","Levenfish, Grigory",,,D36,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['Bg5', 'Nbd7'], ['e3', 'c6'], ['cxd5', 'exd5'], ['Bd3', 'Be7'], ['Qc2', 'Nh5\n'], ['Bxe7', 'Qxe7'], ['Nge2', 'Nf8'], ['O-O-O', 'Be6'], ['Kb1', 'O-O-O'], ['Ka1', 'Kb8'], ['Na4', 'Nd7'], ['Rc1', 'Nhf6\n'], ['Nc5', 'Rc8'], ['Qa4', 'Bg4'], ['f3', 'Nxc5'], ['dxc5', 'Bd7'], ['Rc3', 'Rc7'], ['Rhc1', 'Bc8'], ['Ra3', 'a6\n'], ['Rb3', 'Ka8'], ['Qb4', 'Nd7'], ['Kb1', 'Nb8'], ['e4', 'dxe4'], ['Bxe4', 'Rd8'], ['Nd4', 'Qe5'], ['Nc2', 'f5\n'], ['Bd3', 'Be6'], ['Re1', 'Qf6'], ['Bc4', 'Bxc4'], ['Qxc4', 'Re7'], ['Rbe3', 'Rxe3'], ['Nxe3', 'Rd2'], ['Qb4', 'Qd8\n'], ['a3', 'a5'], ['Qc3', 'Na6'], ['Nxf5', 'Rd1+'], ['Rxd1', 'Qxd1+'], ['Qc1', 'Qd5'], ['Ne3', 'Qd4'], ['Nc4', 'Qxc5\n'], ['Qc2', '']]",1/2-1/2
URS-ch09,Leningrad,1934.??.??,?,"Bohatirchuk, Fedor Parfenovich","Levenfish, Grigory",,,B29,"[['e4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'd5'], ['exd5', 'Nxd5'], ['d4', 'Nxc3'], ['bxc3', 'g6'], ['Be3', 'Bg7'], ['Bb5+', 'Bd7\n'], ['Bxd7+', 'Nxd7'], ['O-O', 'Rc8'], ['Rb1', 'b6'], ['Qe2', 'O-O'], ['Rfd1', 'Qc7'], ['Qa6', 'cxd4'], ['cxd4', 'Rfd8\n'], ['Rbc1', 'Qc4'], ['Qxa7', 'Ra8'], ['Qb7', 'Rxa2'], ['Ne5', 'Nxe5'], ['dxe5', 'Re8'], ['Qxe7', 'Raa8\n'], ['Qd6', 'Bxe5'], ['Qxb6', 'Rab8'], ['Qc5', 'Rec8'], ['Qa3', 'h5'], ['h3', 'Rc6'], ['c3', 'Rbc8'], ['Qa5', 'Bf6\n'], ['Rd5', 'Ra6'], ['Qb5', 'Qxb5'], ['Rxb5', 'Rxc3']]",1/2-1/2
URS-ch09,Leningrad,1934.??.??,?,"Chekhover, Vitaly","Levenfish, Grigory",,,D42,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['Nf3', 'c5'], ['cxd5', 'Nxd5'], ['e3', 'Nc6'], ['Bd3', 'Be7'], ['O-O', 'Nxc3\n'], ['bxc3', 'O-O'], ['Qc2', 'h6'], ['Qe2', 'Qc7'], ['Bb2', 'b6'], ['Rac1', 'Bb7'], ['c4', 'cxd4'], ['exd4', 'Nb4\n'], ['Bb1', 'Bf6'], ['Ne5', 'Rfd8'], ['f4', 'Nc6'], ['d5', 'exd5'], ['cxd5', 'Rxd5'], ['Qe4', 'Rc5'], ['Qh7+', 'Kf8\n'], ['Rce1', '']]",1-0
URS-ch09,Leningrad,1934.??.??,?,"Levenfish, Grigory","Belavenets, Sergey Vesevolodovi",,,B13,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['c4', 'Nc6'], ['Nc3', 'Nf6'], ['Bg5', 'Be6'], ['c5', 'g6'], ['Bxf6', 'exf6\n'], ['Be2', 'Bg7'], ['Bf3', 'f5'], ['Nge2', 'O-O'], ['O-O', 'Qd7'], ['Rb1', 'b6'], ['cxb6', 'axb6'], ['Qd2', 'Na5\n'], ['b3', 'Nc6'], ['Rbc1', 'Rfc8'], ['a4', 'h5'], ['g3', '']]",1/2-1/2
URS-ch09,Leningrad,1934.??.??,?,"Levenfish, Grigory","Dubinin, Peter Vasilievich",,,C62,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['Bb5', 'd6'], ['d4', 'exd4'], ['Nxd4', 'Bd7'], ['Bxc6', 'bxc6'], ['Qf3', 'c5\n'], ['Nf5', 'Bxf5'], ['Qxf5', 'Qd7'], ['Qf3', 'Rb8'], ['O-O', 'Be7'], ['b3', 'O-O'], ['Bg5', 'Nd5'], ['Nxd5', 'Bxg5\n'], ['Qg3', 'Bd8'], ['Rad1', 'f5'], ['e5', 'Re8'], ['exd6', 'cxd6'], ['Rfe1', 'Re6'], ['Nf4', 'Rxe1+'], ['Rxe1', 'Ba5\n'], ['Nd5', 'Bd8'], ['h4', 'Rb7'], ['c4', 'Kf7'], ['Qf3', 'Kg8'], ['Qe2', 'g6'], ['h5', 'Kf8'], ['h6', 'Bg5'], ['Qb2', 'Kg8\n'], ['f4', 'Bd8'], ['Nf6+', 'Bxf6'], ['Qxf6', 'd5'], ['cxd5', '']]",1-0
URS-ch09,Leningrad,1934.??.??,?,"Levenfish, Grigory","Lisitsin, Georgy",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Qc8'], ['Nc3', 'Bb4'], ['Qb3', 'c5'], ['dxc5', 'Bxc5\n'], ['Bg5', 'Nc6'], ['Bxf6', 'gxf6'], ['Ne4', 'Be7'], ['Ned2', 'Na5'], ['Qa4', 'Qc6'], ['Qxc6', 'dxc6'], ['O-O-O', 'O-O-O\n'], ['Ne1', 'Ba6'], ['b3', 'b5'], ['Nc2', 'Kc7'], ['cxb5', 'cxb5'], ['b4', 'Nc6'], ['Bxc6', 'Kxc6'], ['Nb3', 'Kb6\n'], ['Rxd8', 'Rxd8'], ['Rd1', 'Re8'], ['Na5', 'Bc8'], ['a3', 'Rd8'], ['Rxd8', 'Bxd8'], ['g4', 'Bc7'], ['h3', 'f5\n'], ['f3', 'fxg4'], ['fxg4', 'f5'], ['Kd2', 'Bd8'], ['Ne3', 'fxg4'], ['hxg4', 'Kc7'], ['Kd3', 'Kd6'], ['Nb3', 'Bf6\n'], ['Nd4', 'Bd7'], ['Nd1', 'Bxd4'], ['Kxd4', 'e5+'], ['Ke3', 'Bxg4'], ['Nc3', 'Bd7'], ['Kf3', 'Ke6'], ['e3', 'Kf5\n'], ['Kg3', 'Bc6'], ['Kh4', 'Be8'], ['Kg3', 'a6'], ['Kh3', 'Bg6'], ['Kh4', 'h6'], ['a4', 'bxa4'], ['Nxa4', 'Ke4\n'], ['Nc5+', 'Kxe3'], ['Nxa6', 'Kd4'], ['b5', 'Kd5'], ['Nb4+', 'Kc5'], ['Nc6', 'e4'], ['Ne5', 'Bh7'], ['Ng4', 'Kxb5\n'], ['Nxh6', 'Kc4'], ['Ng4', 'Kd4'], ['Kg5', 'Bg8'], ['Kf4', '']]",1/2-1/2
URS-ch09,Leningrad,1934.??.??,?,"Levenfish, Grigory","Rabinovich, Ilya Leontievich",,,A44,"[['d4', 'c5'], ['d5', 'e5'], ['e4', 'd6'], ['Nd2', 'f5'], ['Ngf3', 'Nh6'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Qxd7'], ['Ng5', 'Na6\n'], ['Ne6', 'Nc7'], ['Nxc7+', 'Qxc7'], ['Nf3', 'fxe4'], ['Ng5', 'Nf5'], ['Qg4', 'Qd7'], ['Qxe4', 'g6'], ['O-O', 'O-O-O\n'], ['a4', 'Re8'], ['Be3', 'Be7'], ['Ne6', 'Bd8'], ['b4', 'Nd4'], ['Bxd4', 'exd4'], ['Rab1', 'Re7'], ['bxc5', 'dxc5\n'], ['Rb5', 'Qd6'], ['Qg4', 'Kb8'], ['Rxc5', 'Rhe8'], ['Qg3', 'Qxg3'], ['hxg3', 'Rd7'], ['Rb1', 'a6'], ['Nxd4', 'Ka7\n'], ['Rc8', 'Rxd5'], ['Rd1', 'Rde5'], ['Rxd8', 'Rxd8'], ['Nc6+', 'bxc6'], ['Rxd8', 'Kb6'], ['Rd7', 'Ka5\n'], ['Rxh7', 'Kxa4'], ['f4', 'Rc5'], ['Rg7', 'a5'], ['Rxg6', 'Kb4'], ['Re6', 'a4'], ['Re4+', 'Rc4'], ['Re8', 'Rc5\n'], ['Re4+', 'Rc4'], ['Re1', 'a3'], ['Rb1+', 'Kc5'], ['Ra1', 'Ra4'], ['Ra2', 'Kd4'], ['Kf2', 'Ke4'], ['Ke2', 'Ra8\n'], ['Kd2', 'Rd8+'], ['Kc1', 'Ra8'], ['Kd2', 'Rd8+'], ['Kc3', 'Rg8'], ['Kc4', 'Rxg3'], ['c3', 'Kxf4'], ['Rxa3', 'Rxg2\n'], ['Ra6', 'Rg6'], ['Kc5', 'Ke4'], ['Ra4+', 'Kd3'], ['c4', 'Kc2'], ['Ra3', 'Rg4'], ['Rh3', 'Rf4'], ['Kb4', 'Rf5\n'], ['c5', 'Rf8'], ['Rh6', 'Rc8'], ['Rd6', 'Rb8+'], ['Kc4', 'Rc8'], ['Rh6', 'Kb2'], ['Rg6', 'Ka3'], ['Rg3+', 'Kb2\n'], ['Rb3+', 'Kc2'], ['Ra3', 'Kd2'], ['Rd3+', 'Ke2'], ['Rd6', 'Ke3'], ['Kb4', 'Rb8+'], ['Kc4', 'Ke4']]",1/2-1/2
