URS-ch sf,Leningrad,1954.??.??,?,"Chekhover, Vitaly","Gurevich, Dmitry",,,D32,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'c5'], ['cxd5', 'cxd4'], ['Qa4+', 'Bd7'], ['Qxd4', 'exd5'], ['Qxd5', 'Nc6'], ['a3', 'Nf6\n'], ['Qd1', 'Bc5'], ['e3', 'Qe7'], ['Nf3', 'O-O-O'], ['Qc2', 'g5'], ['Be2', 'g4'], ['Nd2', 'Kb8'], ['O-O', 'Bb6\n'], ['Rd1', 'Ne5'], ['Nf1', 'h5'], ['e4', 'Rdg8'], ['Be3', 'Bc7'], ['Rac1', 'h4'], ['Nd5', 'Nxd5'], ['exd5', 'Bd6\n'], ['Qc3', 'Bc8'], ['Qa5', 'b6'], ['Bxb6', 'axb6'], ['Rxc8+', 'Rxc8'], ['Qxb6+', 'Ka8'], ['Qa6+', 'Kb8\n'], ['Qb6+', 'Ka8']]",1/2-1/2
World op,Philadelphia,1990.??.??,8,"Griego, David W","Gurevich, Dmitry",,,A62,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'c5'], ['d5', 'exd5'], ['cxd5', 'd6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['Bg2', 'O-O\n'], ['O-O', 'Na6'], ['Nd2', 'Nc7'], ['Nc4', 'Nfe8'], ['a4', 'b6'], ['Qc2', 'Ba6'], ['b3', 'f5'], ['Bb2', 'Qd7\n'], ['Rfe1', 'Nf6'], ['e4', 'Bxc4'], ['bxc4', 'fxe4'], ['Nxe4', 'Nxe4'], ['Rxe4', 'Rae8'], ['Bxg7', 'Qxg7\n'], ['Rae1', 'Rxe4'], ['Rxe4', 'Qa1+'], ['Bf1', 'Re8'], ['Kg2', 'Kg7'], ['Rxe8', 'Nxe8'], ['Qe4', 'Kf8'], ['h4', 'Qd4\n'], ['Qe6', 'Qe5'], ['Qxe5', 'dxe5'], ['Kf3', 'Ke7'], ['Ke3', 'Kf6'], ['Bd3', 'Nd6'], ['f3', 'h6'], ['Kd2', 'g5\n'], ['h5', 'e4'], ['fxe4', 'Ke5'], ['Ke3', 'Ne8'], ['Be2', 'Nd6'], ['Bd3', 'Ne8'], ['Be2', 'Nf6'], ['Bf3', 'g4\n'], ['Be2', 'Nxh5'], ['Bxg4', 'Nxg3'], ['Bf3', 'h5'], ['Kf2', 'h4'], ['Kg2', 'a6'], ['Kf2', 'Kd6'], ['Kg2', 'Ke5\n'], ['Kf2', 'Kd6'], ['Kg2', '']]",1/2-1/2
World op,Philadelphia,1990.??.??,9,"Gurevich, Dmitry","Sulman, Robert M",,,E04,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Nd2', 'd5'], ['Bg2', 'O-O'], ['Nf3', 'dxc4'], ['O-O', 'c3'], ['Nc4', 'cxb2\n'], ['Bxb2', 'Nbd7'], ['Qb3', 'Be7'], ['Rfd1', 'c6'], ['a4', 'a5'], ['Nfe5', 'Bb4'], ['Nd3', 'Be7'], ['Bc3', 'Qc7\n'], ['Bd2', 'Ra7'], ['Rab1', 'b5'], ['Nce5', 'Nxe5'], ['Nxe5', 'Nd5'], ['Rbc1', 'bxa4'], ['Qxa4', 'Bd7'], ['Bxd5', 'exd5\n'], ['Nxc6', 'Bxc6'], ['Rxc6', 'Qd7'], ['Ra1', 'h6'], ['Qc2', 'Bb4'], ['Bxb4', 'axb4'], ['Rb1', 'Rfa8'], ['Rc5', 'Ra1\n'], ['Rxa1', 'Rxa1+'], ['Kg2', 'g6'], ['Qb2', 'Qa4'], ['Rc8+', 'Kg7'], ['Qd2', 'Qd1'], ['Qxd1', 'Rxd1'], ['e3', 'Kf6\n'], ['g4', 'Rd2'], ['h4', 'b3'], ['Rb8', 'b2'], ['Rb6+', 'Ke7'], ['g5', 'h5'], ['Kg3', 'Kd7'], ['f3', 'Kc7'], ['Rb4', 'Kd6\n'], ['Rb3', 'Rd3'], ['Rb6+', 'Kc7'], ['Rxb2', 'Rxe3'], ['Kf4', 'Re7'], ['Ra2', 'Kb6'], ['Rc2', 'Re1'], ['Rc8', 'Kb7\n'], ['Rc5', 'Re7'], ['Rxd5', 'Kc6'], ['Re5', 'Ra7'], ['Kg3', 'Kd6'], ['Re4', 'Ra2'], ['Kf4', 'Ra4'], ['Kg3', 'Ra3\n'], ['Re8', 'Rd3'], ['Re4', 'Ra3'], ['Rf4', 'Ke7'], ['Kf2', 'Rb3'], ['Ke2', 'Ra3'], ['d5', 'Ra7'], ['Rd4', 'Kd6\n'], ['Ke3', 'Re7+']]",1/2-1/2
Reykjavik Summit,Reykjavik,1990.??.??,?,"Mortensen, Erling","Gurevich, Dmitry",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Be2', 'Bg7'], ['h4', 'h5'], ['Nf3', 'O-O'], ['Bg5', 'c6'], ['O-O', 'Qc7\n'], ['a4', 'Nbd7'], ['a5', 'e5'], ['Bc4', 'exd4'], ['Nxd4', 'Nxe4'], ['Nxe4', 'd5'], ['Bxd5', 'cxd5'], ['Nc3', 'Qc4\n'], ['Ra4', 'Qc5'], ['Be3', 'Qe7'], ['Nb3', 'Bxc3'], ['bxc3', 'Ne5'], ['Bc5', 'Qd7'], ['Rd4', 'Re8'], ['Rxd5', 'Qc6\n'], ['Qd4', 'Qe6'], ['Rd6', 'Qg4'], ['f3', 'Qxd4+'], ['cxd4', 'Nc4'], ['Rf6', 'b6'], ['Bb4', 'Bd7'], ['Kf2', 'Kg7\n'], ['Rf4', 'Ne3'], ['c4', 'Nxf1'], ['Kxf1', 'Bf5'], ['d5', 'Rac8'], ['Nd2', 'Red8'], ['axb6', 'axb6'], ['Rd4', 'Ra8\n'], ['g4', 'hxg4'], ['fxg4', 'Bc2'], ['Bc3', 'Kg8'], ['h5', 'Ra3'], ['Bb2', 'Re3'], ['hxg6', 'fxg6'], ['g5', 'Rf8+\n'], ['Kg2', 'Bd3'], ['Ba3', 'Re2+'], ['Kg3', 'Rxd2'], ['Bxf8', 'Kxf8'], ['d6', 'Ke8'], ['Kf4', 'Rd1'], ['d7+', 'Kd8\n'], ['Rd6', 'Bc2'], ['Rxb6', 'Kxd7'], ['Ke5', 'Rf1'], ['Rd6+', 'Kc7'], ['Rf6', 'Rf5+']]",0-1
Reykjavik Summit,Reykjavik,1990.??.??,?,"Norwood, David","Gurevich, Dmitry",,,A86,"[['g3', 'f5'], ['d4', 'Nf6'], ['Bg2', 'g6'], ['Nh3', 'Bg7'], ['Nf4', 'd6'], ['d5', 'c6'], ['c4', 'O-O'], ['Nc3', 'a5'], ['h4', 'Ng4\n'], ['e4', 'Na6'], ['exf5', 'Bxf5'], ['Ne4', 'Qb6'], ['O-O', 'Nc5'], ['Qe2', 'Ne5'], ['Be3', 'Bg4'], ['f3', 'Bf5\n'], ['Nxc5', 'dxc5'], ['g4', 'Bd7'], ['Ne6', 'Bxe6'], ['dxe6', 'h5'], ['gxh5', 'gxh5'], ['Kh1', 'Ng6'], ['f4', 'Qxb2\n'], ['Qxh5', 'Qf6'], ['Be4', 'Qxe6'], ['Bxg6', 'Qh3+'], ['Kg1', 'Qg3+'], ['Kh1', 'Qh3+'], ['Kg1', 'Qxe3+\n'], ['Kg2', 'Rfd8'], ['Rad1', 'Rxd1'], ['Rxd1', 'Qe6'], ['f5', 'Qe4+'], ['Qf3', 'Qxh4'], ['Qe2', 'Qf6'], ['Rd7', 'Kf8\n'], ['Qd3', 'Qb2+'], ['Kh3', 'Be5'], ['Rd8+', 'Kg7'], ['Rxa8', 'Qh2+'], ['Kg4', 'Qg2+'], ['Kh5', 'Qh2+'], ['Kg4', 'Qf4+\n'], ['Kh3', 'Qh2+'], ['Kg4', '']]",1/2-1/2
Reykjavik Summit,Reykjavik,1990.??.??,?,"Tukmakov, Vladimir B","Gurevich, Dmitry",,,A81,"[['d4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'g6'], ['Nf3', 'Bg7'], ['O-O', 'O-O'], ['b3', 'd6'], ['Bb2', 'a5'], ['a4', 'Nc6'], ['Nbd2', 'Qe8\n'], ['Re1', 'Ne4'], ['Nxe4', 'fxe4'], ['Ng5', 'd5'], ['f3', 'Bf6'], ['Qd2', 'h6'], ['Nh3', 'exf3'], ['exf3', 'Kg7\n'], ['Re2', 'g5'], ['Nf2', 'Bf5'], ['Rae1', 'Qd7'], ['c3', 'Rae8'], ['Ba3', 'Rg8'], ['f4', 'gxf4'], ['Qxf4', 'e5\n'], ['dxe5', 'Bg5'], ['Qf3', 'd4'], ['h4', 'Be3'], ['Rxe3', 'dxe3'], ['Rxe3', 'Rxe5'], ['Rxe5', 'Nxe5'], ['Qxb7', 'Kh7\n'], ['Kh2', 'Qg7'], ['Ne4', 'Ng4+'], ['Kg1', 'Ne3'], ['Bc5', 'Nxg2'], ['Bd4', 'Qe7'], ['Nf6+', 'Kg6'], ['Nxg8', 'Qe1+\n'], ['Kh2', 'Nxh4'], ['Qc6+', 'Be6'], ['Qe8+', 'Kg5'], ['Qe7+', '']]",1-0
Reykjavik Summit,Reykjavik,1990.??.??,?,"Gurevich, Dmitry","Mortensen, Erling",,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Nf3', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Bg5', 'h6'], ['Bxf6', 'Bxf6'], ['b4', 'Kg7'], ['c5', 'Ng8'], ['Nd2', 'Be7'], ['c6', 'bxc6'], ['dxc6', 'f5\n'], ['Nd5', 'Bg5'], ['Bc4', 'Bxd2'], ['Qxd2', 'fxe4'], ['a4', 'Be6'], ['Qe2', 'Bxd5'], ['Bxd5', 'Nf6'], ['Bxe4', 'd5\n'], ['Bc2', 'Qd6'], ['b5', 'd4'], ['Rfe1', 'Rae8'], ['Be4', 'Nxe4'], ['Qxe4', 'Re7'], ['Rad1', 'Rf4'], ['Qe2', 'g5\n'], ['g3', 'Rff7'], ['Qe4', 'Qg6'], ['Kg2', 'g4'], ['h3', 'h5'], ['hxg4', 'hxg4'], ['Re2', 'Kf6'], ['Qd5', 'Rh7\n'], ['Kg1', 'Qh5'], ['Qg2', 'Rh6'], ['Red2', 'Reh7'], ['Kf1', 'Qf5'], ['Qd5', 'Qf3'], ['Qd8+', 'Kg6']]",0-1
Reykjavik Summit,Reykjavik,1990.??.??,?,"Gurevich, Dmitry","Norwood, David",,,A53,"[['d4', 'd6'], ['Nf3', 'Bg4'], ['c4', 'Nd7'], ['Nc3', 'e5'], ['e3', 'Ngf6'], ['Be2', 'Be7'], ['h3', 'Bh5'], ['g4', 'Bg6\n'], ['Nh4', 'Ne4'], ['Nxg6', 'Nxc3'], ['bxc3', 'hxg6'], ['Rb1', 'Rb8'], ['Qa4', 'c6'], ['Bf3', 'O-O'], ['O-O', 'f5\n'], ['Bg2', 'a6'], ['Qc2', 'Qc8'], ['Ba3', 'Rf7'], ['f4', 'e4'], ['h4', 'b5'], ['h5', 'gxh5'], ['gxf5', 'bxc4\n'], ['Rxb8', 'Qxb8'], ['Rb1', 'Qc8'], ['Bh3', 'Nf6'], ['Rb2', 'Bf8'], ['Qb1', 'Qc7'], ['Bf1', 'Qa5'], ['Bxc4', 'Qxa3\n'], ['Rb3', 'Qa5'], ['Be6', 'Kh7'], ['Bxf7', 'Qxf5'], ['Qf1', 'Ng4'], ['Rb7', 'Nxe3'], ['Qe2', 'Ng4'], ['Be8', 'Qxf4\n'], ['Rf7', 'Qg3+'], ['Qg2', 'Qe3+'], ['Kh1', 'Be7'], ['Bxc6', 'Qe1+'], ['Rf1', 'Qh4+'], ['Kg1', 'e3'], ['Bf3', 'Nf2\n'], ['Qh2', 'Nh3+'], ['Kh1', 'd5'], ['Be2', 'Bd6'], ['Bd3+', 'Kg8']]",0-1
USA op,USA,1990.??.??,?,"Gurevich, Dmitry","Yudasin, Leonid",,,A20,"[['c4', 'e5'], ['g3', 'g6'], ['d4', 'exd4'], ['Qxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Qe3+', 'Qe7'], ['Nf3', 'd6'], ['Bg2', 'Be6\n'], ['Nd4', 'Nxd4'], ['Qxd4', 'c5'], ['Qd1', 'O-O-O'], ['O-O', 'h6'], ['Qa4', 'a6'], ['b4', 'Nd7'], ['Rb1', 'Nb6\n'], ['Qc2', 'Nxc4'], ['bxc5', 'd5'], ['e4', 'd4'], ['Nd5', 'Qxc5'], ['Bf4', 'Bd6'], ['Rfc1', 'b5'], ['a4', 'Bxd5\n'], ['Bxd6', 'Rxd6'], ['exd5', 'Kd7'], ['axb5', 'axb5'], ['Rd1', 'Re8'], ['Qd3', 'Ra6'], ['Qb3', 'Ra5'], ['Qf3', 'f5\n'], ['Qf4', 'Ra2'], ['Bf1', 'Re4'], ['Qb8', 'd3'], ['Qxb5+', 'Qxb5'], ['Rxb5', 'd2'], ['Rbb1', 'Na3'], ['Rb7+', 'Kd6\n'], ['Rb6+', 'Kd7'], ['Re6', 'Rxe6'], ['dxe6+', 'Kxe6'], ['Bd3', 'Ke5'], ['Kf1', 'Kd4'], ['Ke2', 'Kc3'], ['f4', 'Nc2\n'], ['Bxc2', 'Rxc2'], ['Ke3', 'Rb2'], ['Ke2', 'Ra2'], ['Rf1', 'Ra8']]",0-1
USA op,USA,1990.??.??,?,"Gurevich, Dmitry","Baquero, Luis A",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Bb5+', 'Nd7'], ['Nf3', 'O-O\n'], ['O-O', 'c5'], ['h3', 'cxd4'], ['cxd4', 'Nc5'], ['e5', 'a6'], ['Be2', 'Ne4'], ['Bd3', 'Nc3'], ['Qb3', 'Nd5\n'], ['Bd2', 'b6'], ['Rab1', 'h6'], ['Be4', 'Be6'], ['Qd3', 'Qd7'], ['Nh2', 'Bf5'], ['f3', 'b5'], ['Ng4', 'Kh7\n'], ['a4', 'Rab8'], ['Nf2', 'Rfd8'], ['axb5', 'Rxb5'], ['Rxb5', 'axb5'], ['Bxf5', 'Qxf5'], ['Qxb5', 'Qc2\n'], ['Ba5', 'Nc3'], ['Bxc3', 'Qxc3'], ['Qb7', 'Qe3'], ['Qxe7', 'Rxd4'], ['Qxf7', 'Rf4'], ['Qe7', 'Qxe5'], ['Qxe5', 'Bxe5\n'], ['Ne4', 'Rf7'], ['h4', 'Ra7'], ['Rd1', 'Ra1'], ['Rxa1', 'Bxa1'], ['Kf2', 'Kg7'], ['Kg3', 'Kf7'], ['Kg4', 'Bb2\n'], ['h5', 'g5'], ['Kf5', 'Ba3'], ['Nf6', 'Kg7'], ['Ke6', 'Bb2'], ['Nd5', 'Ba1'], ['Ne3', 'Bb2'], ['Nf5+', 'Kh7\n'], ['Kf7', 'Ba1'], ['Ne3', '']]",1-0
USA op,USA,1990.??.??,?,"Gurevich, Dmitry","Dzindzichashvili, Roman",,,E00,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Nd2', 'c5'], ['dxc5', 'Nc6'], ['Bg2', 'O-O'], ['Nf3', 'Bxc5'], ['O-O', 'Be7\n'], ['Nb3', 'd6'], ['h3', 'Qc7'], ['Be3', 'Rd8'], ['Rc1', 'b6'], ['Nbd4', 'Bb7'], ['Nxc6', 'Bxc6'], ['b4', 'Qb7\n'], ['Qb3', 'Rac8'], ['Rfd1', 'Be4'], ['g4', 'h6'], ['Bf1', 'a6'], ['b5', 'axb5'], ['Qxb5', 'Nd7'], ['Nd4', 'Ra8\n'], ['f3', 'Ra5'], ['Qb2', 'Bc6'], ['Bg2', 'Qc7'], ['Bd2', 'Ra7'], ['e3', 'Nc5'], ['Nxc6', 'Qxc6'], ['Rb1', 'Ra6\n'], ['Bb4', 'Bf6'], ['Qc2', 'Ra7'], ['a3', 'Rad7'], ['f4', 'Qc7'], ['Rd2', 'd5'], ['Rbd1', 'd4'], ['Bxc5', 'Qxc5\n'], ['Kh1', 'Rd6'], ['exd4', 'Rxd4'], ['Rxd4', 'Rxd4'], ['Rxd4', 'Qxd4'], ['Qe4', 'Qa1+'], ['Kh2', 'g5'], ['h4', 'gxf4\n'], ['Kh3', 'Qc3+'], ['Qf3', 'Qc1'], ['Bf1', 'Kg7'], ['Bd3', 'Qe1'], ['h5', 'Be5'], ['Be2', 'Kf6'], ['Kg2', 'Qd2\n'], ['Qe4', 'Qc3'], ['Qd3', 'Qxd3'], ['Bxd3', 'Bd6'], ['Bh7', 'Ke5'], ['Bg8', 'Kd4'], ['Bxf7', 'e5'], ['g5', 'hxg5\n'], ['h6', 'e4'], ['h7', 'Be5'], ['Be6', '']]",0-1
USA op,USA,1990.??.??,?,"Gurevich, Dmitry","Sander, Johann",,,E02,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'dxc4'], ['Qa4+', 'c6'], ['Qxc4', 'Nbd7'], ['Nf3', 'Bd6'], ['O-O', 'O-O\n'], ['Nc3', 'e5'], ['Rd1', 'Qe7'], ['Bg5', 'h6'], ['Bxf6', 'Nxf6'], ['dxe5', 'Bxe5'], ['Nxe5', 'Qxe5'], ['e4', 'Be6\n'], ['Qb4', 'Qc7'], ['Qc5', 'Nd7'], ['Qd6', 'Qxd6'], ['Rxd6', 'Nb6'], ['Rd4', 'Rfd8'], ['Rad1', 'Rxd4'], ['Rxd4', 'a5\n'], ['f4', 'g6'], ['Kf2', 'Kf8'], ['Bf1', 'Ke7'], ['b4', 'axb4'], ['Rxb4', 'Nd7'], ['a4', 'b6'], ['Ke3', 'f6\n'], ['Be2', 'Kd6'], ['h4', 'Kc7'], ['Bf3', 'Nc5'], ['Bd1', 'Rd8'], ['Bc2', 'Bf7'], ['Ne2', 'Re8'], ['g4', 'Be6\n'], ['Kf3', 'Rd8'], ['Rd4', 'Bb3'], ['Rxd8', 'Kxd8'], ['Bxb3', 'Nxb3'], ['Ke3', 'Kd7'], ['h5', 'gxh5'], ['gxh5', 'Nc5\n'], ['Nd4', 'Nxa4'], ['Nf5', 'Nc5'], ['Nxh6', 'Ke6'], ['Nf5', 'Nd7'], ['Nd4+', 'Kd6'], ['Nf5+', 'Ke6'], ['Nd4+', 'Kd6\n'], ['h6', 'Nf8'], ['Kd3', 'Nh7'], ['Kc4', 'Nf8'], ['Nf3', 'Nh7'], ['Kd4', 'Ke6'], ['Nd2', 'Nf8'], ['f5+', 'Ke7\n'], ['e5', 'fxe5+'], ['Kxe5', 'Nd7+'], ['Kf4', 'Nf8'], ['Nf3', 'Kf6'], ['Ng5', 'Ng6+'], ['Kg4', 'Ne5+'], ['Kh5', 'Kxf5\n'], ['Ne4', 'Ng6'], ['h7', 'b5'], ['Kh6', 'b4'], ['Nd6+', 'Kf6'], ['Ne8+', 'Kf7'], ['Nd6+', '']]",1/2-1/2
USA op,USA,1990.??.??,?,"Gurevich, Dmitry","Shaked, Tal",,,A67,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'e6'], ['Nc3', 'exd5'], ['cxd5', 'd6'], ['e4', 'g6'], ['f4', 'Bg7'], ['Bb5+', 'Nfd7\n'], ['a4', 'O-O'], ['Nf3', 'Na6'], ['O-O', 'Nc7'], ['Bc4', 'Rb8'], ['Bd2', 'a6'], ['Qe2', 'Re8'], ['Rae1', 'b5\n'], ['axb5', 'axb5'], ['Nxb5', 'Nxb5'], ['Bxb5', 'Qb6'], ['Bc4', 'Qxb2'], ['Kh1', 'Qb6'], ['h3', 'Bb7'], ['Qd3', 'Ra8\n'], ['Rb1', 'Qa7'], ['e5', 'dxe5'], ['fxe5', 'Bxe5'], ['d6', 'Ba6'], ['Bxf7+', 'Kxf7'], ['Nxe5+', 'Kg7'], ['Bh6+', 'Kxh6\n'], ['Qe3+', 'g5'], ['Nf7+', '']]",1-0
USA op,USA,1990.??.??,?,"Edelman, Daniel","Gurevich, Dmitry",,,B88,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bc4', 'e6'], ['O-O', 'Be7'], ['Be3', 'O-O\n'], ['Kh1', 'a6'], ['a3', 'Nxd4'], ['Bxd4', 'b5'], ['Bb3', 'Bb7'], ['f3', 'Qc7'], ['Qe2', 'Bc6'], ['Rae1', 'Qb7\n'], ['f4', 'a5'], ['e5', 'dxe5'], ['fxe5', 'Nd7'], ['Qg4', 'Nc5'], ['Bxc5', 'Bxc5'], ['Ne4', 'Bxe4'], ['Rxe4', 'h5\n'], ['Qe2', 'g6'], ['Ref4', 'Rad8'], ['c3', 'Kg7'], ['Bc2', 'b4'], ['axb4', 'axb4'], ['Be4', 'Qc7'], ['Qf3', 'bxc3\n'], ['bxc3', 'Qxe5'], ['Rxf7+', 'Kh6'], ['Bc2', 'Bd6'], ['g3', 'Bc5'], ['Qf6', 'Qxf6'], ['R7xf6', 'Rxf6\n'], ['Rxf6', 'Kg7'], ['Rxg6+', 'Kf7'], ['Rg5', 'Rd5'], ['Rxd5', 'exd5'], ['Bb3', 'Ke6'], ['h4', 'Bf2'], ['Kg2', 'Be1\n'], ['Bd1', 'Bxc3'], ['Bxh5', 'Be1'], ['Kh3', 'Bxg3']]",1/2-1/2
USA op,USA,1990.??.??,?,"Hanken, Jerome B","Gurevich, Dmitry",,,A10,"[['c4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'g6'], ['Nc3', 'Bg7'], ['e3', 'O-O'], ['Nge2', 'd6'], ['O-O', 'c6'], ['Rb1', 'a5\n'], ['a3', 'e5'], ['d3', 'Be6'], ['f4', 'Nbd7'], ['b4', 'axb4'], ['axb4', 'Qc7'], ['Bb2', 'Rae8'], ['Qd2', 'Bf7\n'], ['b5', 'exf4'], ['gxf4', 'Re7'], ['bxc6', 'bxc6'], ['Nd4', 'Nb8'], ['Ba3', 'c5'], ['Ndb5', 'Qd7'], ['Rfe1', 'Rd8\n'], ['Na4', 'Qe8'], ['Bb2', 'Nc6'], ['h3', 'h6'], ['Nb6', 'Nb4'], ['Bc3', 'd5'], ['Bxb4', 'cxb4'], ['Qxb4', 'Bf8\n'], ['Qc3', 'Rxe3'], ['Nc7', 'Rxe1+'], ['Rxe1', 'Qc6'], ['Nba8', 'Bg7'], ['Qa5', 'Qd6'], ['c5', 'Qd7'], ['Ne6', 'Bxe6\n'], ['Rxe6', 'Qxe6'], ['Qxd8+', 'Kh7'], ['Qc7', 'Nh5'], ['Nb6', 'Qe3+'], ['Kh2', 'Qg3+'], ['Kh1', 'Nxf4\n'], ['Bxd5', 'Qe1+'], ['Kh2', 'Qf2+'], ['Kh1', 'Ne2']]",0-1
USA op,USA,1990.??.??,?,"Harmon, Clark","Gurevich, Dmitry",,,E42,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'c5'], ['Ne2', 'b6'], ['a3', 'Ba5'], ['Bd2', 'Ba6'], ['Nf4', 'cxd4\n'], ['exd4', 'Bxc3'], ['Bxc3', 'Qc7'], ['Qf3', 'O-O'], ['d5', 'e5'], ['Nh5', 'Nxh5'], ['Qxh5', 'd6'], ['Rc1', 'Nd7\n'], ['Bd2', 'Nc5'], ['Rc3', 'f5'], ['Rh3', 'g6'], ['Qd1', 'Ne4'], ['Qa4', 'Nxd2'], ['Qxa6', 'Ne4'], ['b4', 'f4\n'], ['Be2', 'Ng5'], ['Rc3', 'e4'], ['h4', 'Qg7'], ['Rc2', 'f3'], ['hxg5', 'fxg2'], ['Rg1', 'e3'], ['Rxg2', 'Qa1+\n'], ['Bd1', 'Rae8'], ['f3', 'Rxf3'], ['c5', 'Ref8'], ['Rg1', 'Rf2'], ['Qc4', 'b5'], ['Qe4', 'e2'], ['Qd3', 'exd1=Q+\n'], ['Qxd1', 'Rf1+']]",0-1
USA op,USA,1990.??.??,?,"Khatena, Moshe","Gurevich, Dmitry",,,B50,"[['e4', 'c5'], ['b3', 'e6'], ['Bb2', 'd6'], ['Nf3', 'Nf6'], ['e5', 'dxe5'], ['Nxe5', 'Be7'], ['Bd3', 'Nbd7'], ['f4', 'O-O\n'], ['O-O', 'Qc7'], ['Qe2', 'g6'], ['Na3', 'a6'], ['Rae1', 'Nxe5'], ['fxe5', 'Nh5'], ['Be4', 'Bd7'], ['Qf3', 'f5\n'], ['exf6', 'Bxf6'], ['Bxf6', 'Rxf6'], ['Qe3', 'Raf8'], ['Rxf6', 'Nxf6'], ['Bf3', 'b5'], ['c3', 'Qd6'], ['Re2', 'Ne8\n'], ['Nc2', 'Ng7'], ['d4', 'Nf5'], ['Qe5', 'cxd4'], ['Qxd6', 'Nxd6'], ['Nxd4', 'Kf7'], ['Bg4', 'Nf5'], ['Nf3', 'Kf6\n'], ['Bxf5', 'gxf5'], ['Ne5', 'Bc8'], ['c4', 'Rd8'], ['Kf2', 'Bb7'], ['cxb5', 'axb5'], ['Nf3', 'Rd1'], ['h3', 'h5\n'], ['Ne1', 'h4'], ['Nf3', 'Bxf3'], ['Kxf3', 'e5'], ['a4', 'bxa4'], ['bxa4', 'Ra1'], ['Rb2', 'Ra3+'], ['Kf2', 'Rxa4\n'], ['Rc2', 'Ra3'], ['Rb2', 'Rc3'], ['Re2', 'e4'], ['Rb2', 'Ke5'], ['Ra2', 'Kf4'], ['Rb2', 'Rd3'], ['Ke2', 'Kg3\n'], ['Rb5', 'Kf4'], ['Rb8', 'Ra3'], ['Rb1', 'Ra2+'], ['Kf1', 'e3'], ['Re1', 'Rd2'], ['Kg1', 'Rf2'], ['Kh1', 'e2\n'], ['Kh2', 'Ke3'], ['Kg1', 'Rf4'], ['Ra1', 'Rd4']]",0-1
USA op,USA,1990.??.??,?,"Shapiro, Daniel E","Gurevich, Dmitry",,,A72,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c4', 'c5'], ['d5', 'exd5'], ['cxd5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Be2', 'd6']]",1-0
USA op,USA,1990.??.??,?,"Shapiro, Daniel E","Gurevich, Dmitry",,,A70,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c4', 'c5'], ['d5', 'exd5'], ['cxd5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Bd3', 'd6\n'], ['h3', 'Na6'], ['O-O', 'Nc7'], ['a4', 'a6'], ['Bf4', 'Rb8'], ['a5', 'b5'], ['axb6', 'Rxb6'], ['Ra2', 'Bd7\n'], ['Nd2', 'Bb5'], ['Nc4', 'Bxc4'], ['Bxc4', 'Nd7'], ['Qe2', 'Qf6'], ['Bc1', 'Ra8'], ['f4', 'Qd8'], ['e5', 'dxe5\n'], ['Ne4', 'Ne8'], ['Bd2', 'Qe7'], ['Ba5', 'Rb7'], ['d6', 'Nxd6'], ['Nxd6', 'Qxd6'], ['Bxf7+', 'Kh8'], ['Rd1', 'Qb8\n'], ['Bd5', 'exf4'], ['Bc3', 'Nf6'], ['Bxb7', 'Qxb7'], ['Rd6', 'Ne4'], ['Bxg7+', 'Kg8'], ['Be5', 'Nxd6'], ['Bxd6', 'Qd5\n'], ['Rxa6', '']]",1-0
