US Amateur Team East,Parsipanny USA,2002.02.16,1,"Milovanovic,Dragan","Caruana,F",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['e3', 'Bg7'], ['Bd3', 'O-O'], ['O-O', 'd5'], ['Nbd2', 'Nbd7'], ['c3', 'b6'], ['e4', 'dxe4\n'], ['Nxe4', 'Bb7'], ['Re1', 'Re8'], ['Bf4', 'Rc8'], ['Qa4', 'a6'], ['Rad1', 'b5'], ['Qc2', 'Nd5'], ['Bg3', 'c6\n'], ['h4', 'c5'], ['dxc5', 'Nxc5'], ['Nxc5', 'Rxc5'], ['Qb1', 'Qb6'], ['h5', 'Bxc3'], ['hxg6', 'hxg6'], ['bxc3', 'Nxc3\n'], ['Qb4', 'Nxd1'], ['Rxd1', 'Bxf3'], ['gxf3', 'Rd8'], ['Be2', 'Rxd1+'], ['Bxd1', 'Rc1'], ['Qd2', 'Qc5\n'], ['Kg2', 'a5'], ['Bf4', 'Rc4'], ['Be3', 'Qd6'], ['Bb3', 'Rh4'], ['Qxa5', 'Qd7'], ['Kf1', 'Qd3+'], ['Kg2', 'Qd7']]",1/2-1/2
FSIMA Feb,Budapest HUN,2003.02.06,6,"Berczes,D","Caruana,F",,,D84,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Bf4', 'Bg7'], ['e3', 'O-O'], ['cxd5', 'Nxd5'], ['Nxd5', 'Qxd5'], ['Bxc7', 'Bf5\n'], ['Ne2', 'Nc6'], ['Nc3', 'Qd7'], ['Bg3', 'Rad8'], ['Be2', 'Qe8'], ['O-O', 'e5'], ['d5', 'e4'], ['Bh4', 'Rd6\n'], ['Qb3', 'Ne5'], ['Qa3', 'Qd7'], ['Bb5', 'Qc7'], ['Rac1', 'Rc8'], ['Nxe4', 'Qxc1'], ['Nxd6', 'Rc2'], ['Nxf5', '']]",1-0
FSIMA Feb,Budapest HUN,2003.02.07,7,"Caruana,F","Kovacs,Ga2",,,B22,"[['e4', 'c5'], ['Nf3', 'e6'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['d4', 'Nf6'], ['Na3', 'Qd8'], ['Nc2', 'Be7'], ['Bd3', 'O-O\n'], ['O-O', 'b6'], ['Be3', 'Nbd7'], ['Qe2', 'Bb7'], ['Rad1', 'Qc7'], ['Ba6', 'Bd5'], ['Bc4', 'Rad8'], ['Bg5', 'Bxf3\n'], ['Qxf3', 'cxd4'], ['Rxd4', 'Ne5'], ['Qg3', 'Rxd4'], ['cxd4', 'Qxc4'], ['Bxf6', 'Nf3+'], ['Qxf3', 'Bxf6\n'], ['Qe4', 'Qxa2'], ['Ra1', 'Qxb2'], ['Rxa7', 'Qc1+'], ['Ne1', 'Bxd4'], ['Ra8', 'Bc5'], ['Kf1', 'g6'], ['Rxf8+', 'Bxf8\n'], ['Qc2', 'Qa1'], ['Qb3', 'Bc5'], ['g3', 'Qd4'], ['Nd3', 'h5'], ['h4', 'e5'], ['Ke2', 'e4'], ['Nxc5', 'bxc5\n'], ['Qe3', 'Kg7'], ['Qb3', 'c4'], ['Qc2', 'Qd3+'], ['Qxd3', 'exd3+']]",0-1
FSIMA Feb,Budapest HUN,2003.02.08,8,"Brustkern,J","Caruana,F",,,A05,"[['Nf3', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['d3', 'd6'], ['c4', 'Nbd7'], ['Nc3', 'c6'], ['e4', 'd5\n'], ['cxd5', 'cxd5'], ['e5', 'Ne8'], ['d4', 'Nb6'], ['a4', 'Bg4'], ['h3', 'Bxf3'], ['Bxf3', 'e6'], ['Bg2', 'Rc8\n'], ['h4', 'Nc4'], ['Ne2', 'f6'], ['b3', 'Na5'], ['Nf4', 'Qb6'], ['Rb1', 'fxe5'], ['dxe5', 'Kh8'], ['Be3', 'Qc6\n'], ['h5', 'Bxe5'], ['Bd4', 'Bxd4'], ['Qxd4+', 'Rf6'], ['hxg6', 'Qc3'], ['Nxe6', 'Qxd4'], ['Nxd4', 'hxg6\n'], ['Rbc1', 'Rxc1'], ['Rxc1', 'Nc6'], ['Re1', 'Nd6'], ['Nb5', 'a6'], ['Nc3', 'd4'], ['Nd5', 'Rf7'], ['Nf4', 'Rf6\n'], ['Nd3', 'Nf5'], ['Nc5', 'b5'], ['axb5', 'axb5'], ['Bf1', 'Nd6'], ['Nd3', 'Kg7'], ['Bg2', 'Nf5'], ['Rc1', 'Nfe7\n'], ['Rc5', 'Rf5'], ['Rxc6', 'Nxc6'], ['Bxc6', 'Kf6'], ['g4', 'Rg5'], ['f3', 'Ke6'], ['b4', '']]",1-0
FSIMA Feb,Budapest HUN,2003.02.09,9,"Caruana,F","Babos,C",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'e6'], ['Bxc6', 'bxc6'], ['d3', 'Ne7'], ['O-O', 'Ng6'], ['Nc3', 'e5'], ['Be3', 'Be7\n'], ['Na4', 'd6'], ['h3', 'O-O'], ['Nd2', 'Bg5'], ['Nc3', 'Bxe3'], ['fxe3', 'Qg5'], ['Nc4', 'Qg3'], ['Ne2', 'Qg5\n'], ['Nxd6', 'Nh4'], ['Rf2', 'Be6'], ['Qf1', 'Rad8'], ['Nb7', 'Rde8'], ['Nxc5', 'Bc8'], ['g3', 'Qxe3'], ['gxh4', 'Qxc5\n'], ['Kh2', 'a5'], ['Ng3', 'a4'], ['Qg2', 'Qd6'], ['Rg1', 'Qh6'], ['Nh5', 'g6'], ['Nf6+', 'Kg7'], ['Nxe8+', 'Rxe8\n'], ['Qf3', 'Be6'], ['Qf6+', 'Kg8'], ['Rg5', 'Bxa2'], ['b3', '']]",1-0
FSIMA Feb,Budapest HUN,2003.02.10,10,"Alfred,N","Caruana,F",,,D03,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bg5', 'Bg7'], ['Nbd2', 'd5'], ['e3', 'Bf5'], ['Be2', 'O-O'], ['O-O', 'Ne4'], ['Nxe4', 'Bxe4\n'], ['Nd2', 'Bf5'], ['c3', 'Qd7'], ['f3', 'h6'], ['Bh4', 'Qc6'], ['Qb3', 'Bf6'], ['Bxf6', 'exf6'], ['e4', 'Be6\n'], ['exd5', 'Bxd5'], ['c4', 'Be6'], ['Ne4', 'Bf5'], ['d5', 'Qa6'], ['Ng3', 'Bc8'], ['Qc3', 'Re8'], ['Rfe1', 'Nd7\n'], ['b4', 'Qd6'], ['Bd3', 'Rxe1+'], ['Rxe1', 'b6'], ['Qd2', 'Kg7'], ['f4', 'Ba6'], ['a3', 'c6'], ['Ne4', 'Qc7\n'], ['dxc6', 'Nf8'], ['b5', 'Bc8'], ['Nxf6', 'Be6'], ['Qc3', '']]",1-0
12th Chicago Open,Oak Brook USA,2003.05.25,5,"Caruana,F","Nagle,S",,,B01,"[['e4', 'd5'], ['exd5', 'Qxd5'], ['Nc3', 'Qa5'], ['Nf3', 'Nf6'], ['d4', 'c6'], ['Bd2', 'Bf5'], ['Bc4', 'e6'], ['O-O', 'Bb4\n'], ['Re1', 'O-O'], ['Re5', 'Qc7'], ['Nh4', 'Ng4'], ['Nxf5', 'exf5'], ['Rxf5', 'Qxh2+'], ['Kf1', 'Qh1+'], ['Ke2', 'Qxg2\n'], ['Be3', 'Nd7'], ['Qh1', 'Nxe3'], ['Kxe3', 'Rae8+'], ['Kd2', 'Qg4'], ['Qf3', 'Qxd4+']]",0-1
59th NY Masters,New York USA,2003.06.03,1,"Caruana,F","Tate,E",,,B22,"[['e4', 'c5'], ['Nf3', 'e6'], ['c3', 'd5'], ['exd5', 'exd5'], ['d4', 'c4'], ['Be2', 'Bd6'], ['O-O', 'a6'], ['Ne5', 'Ne7\n'], ['Bf3', 'Nbc6'], ['Re1', 'O-O'], ['b3', 'cxb3'], ['axb3', 'Be6'], ['Bg5', 'Qc7'], ['Bxe7', 'Nxe7'], ['Qd2', 'Rac8\n'], ['h3', 'Ng6'], ['Nxg6', 'hxg6'], ['Qg5', 'Bf4'], ['Qh4', 'g5'], ['Qh5', 'g6'], ['Qh6', 'g4']]",0-1
31st World Open,Philadelphia USA,2003.06.30,1,"Delaune,R","Caruana,F",,,A16,"[['c4', 'Nf6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['g3', 'e6'], ['Bg2', 'b6'], ['Qa4+', 'Bd7'], ['Qb3', 'Bc6'], ['Nf3', 'Nd7\n'], ['d4', 'Nxc3'], ['Qxc3', 'Bd5'], ['O-O', 'Bd6'], ['Nd2', 'Bxg2'], ['Kxg2', 'O-O'], ['Rd1', 'Nf6'], ['Qf3', 'c5\n'], ['Nc4', 'Be7'], ['Be3', 'Qd5'], ['Rac1', 'b5'], ['Ne5', 'c4'], ['Nc6', 'Bd6'], ['Bf4', 'Rfc8'], ['Bxd6', 'Rxc6\n'], ['Qxd5', 'exd5'], ['Bf4', 'Re8'], ['Rc2', 'b4'], ['f3', 'Ra6'], ['b3', 'c3'], ['Kf2', 'Nd7'], ['Rd3', 'Rc6\n'], ['Re3', 'Rxe3'], ['Kxe3', 'f5'], ['Kd3', 'Kf7'], ['Bc1', 'Kf6'], ['a3', 'a5'], ['axb4', 'axb4'], ['Ra2', 'Rb6\n'], ['h4', 'Nb8'], ['Ra5', 'Ke6'], ['Ra7', 'Nd7'], ['Bf4', 'Rc6'], ['Kc2', 'Rb6'], ['Bc7', 'Rb5'], ['Ra6+', 'Ke7\n'], ['Bd6+', 'Kf7'], ['Ra4', 'Rb6'], ['Bxb4', 'Re6'], ['Kd3', 'c2'], ['Bd2', 'Rg6'], ['Ra7', 'Ke8'], ['Kxc2', 'Rxg3\n'], ['Ra5', '']]",1-0
31st World Open,Philadelphia USA,2003.06.30,1,"Caruana,F","Ziatdinov,R",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'a6'], ['b4', 'Ba7'], ['Bg5', 'h6'], ['Be3', 'O-O\n'], ['a4', 'd5'], ['exd5', 'Nxd5'], ['b5', 'Nxe3'], ['fxe3', 'Na5'], ['Qe2', 'Nxc4'], ['dxc4', 'Bg4'], ['e4', 'f5\n'], ['Nbd2', 'fxe4'], ['Qxe4', 'Rf4'], ['Qxe5', 'Qf8'], ['Qd5+', 'Kh8'], ['h3', 'Re8+'], ['Kf1', 'Be6'], ['Qxb7', 'Qc5']]",0-1
US Open,Los Angeles USA,2003.08.14,11,"Douthwaite,B","Caruana,F",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Bg5', 'a6'], ['Bxf6', 'gxf6\n'], ['Na3', 'f5'], ['exf5', 'Bxf5'], ['Bd3', 'Be6'], ['Bc4', 'Nd4'], ['Bxe6', 'fxe6'], ['Qh5+', 'Kd7'], ['Ne4', 'd5\n'], ['Qxe5', 'Qa5+'], ['c3', 'Bxa3'], ['Qxd4', 'e5'], ['Qd2', 'Kc6'], ['Qh6+', 'Kc7'], ['Qg7+', 'Kc6'], ['Qf6+', 'Kd7\n'], ['bxa3', 'dxe4'], ['O-O', 'Rhe8'], ['Qf7+', 'Kc6'], ['Rab1', 'Qc7'], ['Qc4+', 'Kd7'], ['Qxe4', 'Kc8\n'], ['Rb4', 'Kb8'], ['Rxb7+', 'Qxb7'], ['Rb1', 'Ra7'], ['Qxh7', 'Re7'], ['Rxb7+', 'Raxb7'], ['Qc2', 'e4\n'], ['h3', 'Rbd7'], ['Qb3+', 'Ka7'], ['Qc4', 'Rc7'], ['Qd4+', 'Kb7'], ['Qd5+', 'Kb8'], ['c4', '']]",1-0
Marshall v Mechanics Match,ICC INT,2003.09.28,1,"Caruana,F","Wang,Drake",,,B11,"[['e4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'e6'], ['d3', 'Bd6'], ['Qg4', 'Qf6'], ['Bg5', 'Qg6\n'], ['exd5', 'exd5'], ['Qc8+', '']]",1-0
82nd NY Masters,New York USA,2003.11.18,1,"Pruess,D","Caruana,F",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Bg5', 'a6'], ['Na3', 'b5\n'], ['Nd5', 'Be7'], ['Bxf6', 'Bxf6'], ['c3', 'Ne7'], ['Nxf6+', 'gxf6'], ['Nc2', 'f5'], ['exf5', 'Bxf5'], ['Ne3', 'Be6\n'], ['Qh5', 'O-O'], ['Bd3', 'Ng6'], ['O-O', 'Qd7'], ['Bf5', 'Bxf5'], ['Qxf5', 'Qxf5'], ['Nxf5', 'Rfd8'], ['Rfd1', 'd5\n'], ['Rd2', 'Rd7'], ['a4', 'Rb8'], ['axb5', 'axb5'], ['Ra6', 'b4'], ['cxb4', 'Rxb4'], ['Ra8+', 'Nf8'], ['Rd3', 'Rb6\n'], ['Rc3', 'Rf6'], ['Rxf8+', '']]",1-0
