Berlin,Berlin,1862.??.??,?,"Holdheim, O.","Wolff, Patrick G",,,C26,"[['e4', 'e5'], ['Nc3', 'Bc5'], ['Bc4', 'Nf6'], ['f4', 'Bxg1'], ['Rxg1', 'exf4'], ['e5', 'Qe7'], ['Kf2', 'Qc5+'], ['d4', 'Qxc4\n'], ['exf6', 'g5'], ['Re1+', 'Kd8'], ['g3', 'fxg3+'], ['hxg3', 'Nc6'], ['Bxg5', 'Nxd4'], ['Re4', 'c5'], ['Be3', 'd5\n'], ['Bxd4', 'dxe4'], ['Bxc5+', 'Bd7'], ['Qd6', 'Qe6'], ['Qe7+', 'Qxe7'], ['fxe7+', 'Kc7'], ['Nxe4', 'b6\n'], ['Bd6+', 'Kb7'], ['Be5', 'Bc6'], ['Nd6+', 'Ka6'], ['Bxh8', 'Rxh8'], ['Re1', 'Be8'], ['Kf3', 'b5'], ['Kf4', 'Kb6\n'], ['Kf5', 'Kc6'], ['Nxe8', 'Rxe8'], ['Kf6', '']]",1-0
GMA Baleares Open,Palma de Mallorca,1989.??.??,2,"Gurevich, Mikhail","Wolff, Patrick G",,,D00,"[['d4', 'Nf6'], ['Bg5', 'd5'], ['Bxf6', 'exf6'], ['e3', 'c5'], ['dxc5', 'Bxc5'], ['Nc3', 'Be6'], ['Bb5+', 'Nc6'], ['Nge2', 'O-O\n'], ['O-O', 'Ne5'], ['Nf4', 'a6'], ['Ba4', 'Nc4'], ['Bb3', 'Nxb2'], ['Qe2', 'Rc8'], ['Ncxd5', 'Bxd5'], ['Nxd5', 'b5\n'], ['c3', 'Ba3'], ['Rab1', 'Nc4'], ['Rfd1', 'Qd6'], ['Bxc4', 'Rxc4'], ['Nb6', 'Qxb6'], ['Qxc4', 'Qxe3'], ['Qxb5', '']]",1-0
GMA Baleares Open,Palma de Mallorca,1989.??.??,3,"Wolff, Patrick G","Lago, Victor Miguel",,,B17,"[['e4', 'c6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nd7'], ['Ng5', 'Ngf6'], ['Bd3', 'e6'], ['N1f3', 'Bd6'], ['Qe2', 'h6\n'], ['Ne4', 'Nxe4'], ['Qxe4', 'Nf6'], ['Qe2', 'Qc7'], ['Bd2', 'b6'], ['O-O-O', 'Bb7'], ['Rhe1', 'O-O-O'], ['Ba6', 'Bxa6\n'], ['Qxa6+', 'Kb8'], ['Kb1', 'Rc8'], ['c4', 'Rhd8'], ['c5', 'Bf8'], ['cxb6', 'Qxb6'], ['Qa4', 'Rd5'], ['Rc1', 'Bd6\n'], ['Rc2', 'Qb5'], ['Qc4', 'Qxc4'], ['Rxc4', 'Kb7'], ['h3', 'Rc7'], ['Be3', 'Rb5'], ['Rec1', 'Nd5'], ['Nd2', 'Rb4\n'], ['R4c2', 'Be7'], ['Nc4', 'Ra4'], ['Ne5', 'Bf6'], ['Nxc6', 'Ra6'], ['Nb4', 'Rxc2'], ['Nxc2', 'Rb6'], ['Na3', 'Rb4\n'], ['Nc4', 'Kb8'], ['Nd6', 'Nb6'], ['a3', 'Rb3'], ['Kc2', 'Rxe3'], ['fxe3', '']]",1-0
GMA Baleares Open,Palma de Mallorca,1989.??.??,4,"Romero Holmes, Alfonso","Wolff, Patrick G",,,B47,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'Qc7'], ['g3', 'd6'], ['Ndb5', 'Qb8'], ['a4', 'Be7\n'], ['Bg2', 'Nf6'], ['O-O', 'O-O'], ['Qe2', 'Rd8'], ['Be3', 'a6'], ['Na3', 'd5'], ['Bb6', 'Rd6'], ['a5', 'd4'], ['Na4', 'e5\n'], ['Nc4', 'Bg4'], ['f3', 'Be6'], ['Nxd6', 'Qxd6'], ['Bc5', 'Qd8'], ['Bxe7', 'Qxe7'], ['f4', 'exf4'], ['gxf4', 'Bg4\n'], ['Qc4', 'Nxe4'], ['Rfe1', 'Be6'], ['Rxe4', 'Bxc4'], ['Rxe7', 'Nxe7'], ['Nb6', '']]",1-0
GMA Baleares Open,Palma de Mallorca,1989.??.??,5,"Wolff, Patrick G","Yakovich, Yuri",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Bg5', 'a6'], ['Na3', 'b5\n'], ['Nd5', 'Be7'], ['Bxf6', 'Bxf6'], ['c3', 'O-O'], ['Nc2', 'Rb8'], ['Be2', 'Bg5'], ['O-O', 'a5'], ['Qd3', 'Ne7\n'], ['Nde3', 'Qb6'], ['Rfd1', 'Rd8'], ['a4', 'bxa4'], ['Rxa4', 'Be6'], ['Rda1', 'Qxb2'], ['Rxa5', 'Nc6'], ['Ra6', 'Rbc8\n'], ['Nd1', 'Qb7'], ['Nce3', 'h6'], ['Nd5', 'Ra8'], ['g3', 'Rxa6'], ['Rxa6', 'Rc8'], ['h4', 'Bd8'], ['N1e3', 'Ra8\n'], ['Rxa8', 'Qxa8'], ['Qb5', 'Kh7'], ['Bc4', 'Qc8'], ['Nb4', 'Na7'], ['Bxe6', 'fxe6'], ['Qd3', 'Bb6'], ['Nc4', 'Qc5\n'], ['Nxb6', 'Qxb6'], ['Qc4', 'Qb7'], ['Qxe6', 'Qxe4'], ['Qf7', 'Nb5'], ['Nd5', 'Qb1+'], ['Kh2', 'Qg6'], ['Qf3', 'e4\n'], ['Qe3', 'Qf5'], ['c4', 'Na3'], ['Qxa3', 'Qxf2+'], ['Kh3', 'Qf1+'], ['Kg4', 'h5+'], ['Kg5', 'Qh3'], ['Nf6+', 'gxf6+\n'], ['Kxf6', 'Qd7'], ['Qe3', 'Qg7+']]",0-1
GMA Baleares Open,Palma de Mallorca,1989.??.??,6,"Spassov, Liuben","Wolff, Patrick G",,,A37,"[['Nf3', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd6'], ['O-O', 'Bg4'], ['Rb1', 'Qd7'], ['Qa4', 'Nf6\n'], ['Re1', 'Bh3'], ['Bh1', 'h5'], ['a3', 'h4'], ['b4', 'hxg3'], ['fxg3', 'Bf5'], ['d3', 'O-O'], ['Nd5', 'cxb4\n'], ['Nxb4', 'Ng4'], ['Bb2', 'Bxb2'], ['Rxb2', 'Qe6'], ['Nd5', 'Qd7']]",1/2-1/2
GMA Baleares Open,Palma de Mallorca,1989.??.??,7,"Wolff, Patrick G","Gaprindashvili, Nona",,,B06,"[['e4', 'g6'], ['h4', 'Bg7'], ['Nc3', 'c6'], ['d4', 'd5'], ['e5', 'h5'], ['Bf4', 'Nd7'], ['e6', 'fxe6'], ['Bd3', 'Nf8'], ['Nf3', 'Nh6\n'], ['Qd2', 'Nf5'], ['Ne2', 'Qb6'], ['c3', 'Bf6'], ['O-O-O', 'Bd7'], ['Kb1', 'O-O-O'], ['Nc1', 'c5'], ['dxc5', 'Qxc5\n'], ['Nb3', 'Qb6'], ['c4', 'dxc4'], ['Bxc4', 'Nd6'], ['Bd3', 'Bc6'], ['Qe2', 'Bd5'], ['Ne5', 'Qb4'], ['Qe3', 'Kb8\n'], ['Nc5', 'Ka8'], ['a3', 'Qb6'], ['f3', 'Rg8'], ['Rc1', 'Nb5'], ['Ka1', 'Qa5'], ['Bc4', 'Nd6'], ['Be2', 'b5\n'], ['Ncd3', 'Nd7'], ['Kb1', 'Nc4'], ['Nxc4', 'bxc4'], ['Ne5', 'Rb8'], ['Rc3', 'Rb6'], ['Nxd7', 'Bxc3'], ['Nxb6+', '']]",1-0
GMA Baleares Open,Palma de Mallorca,1989.??.??,8,"Ree, Hans","Wolff, Patrick G",,,A80,"[['d4', 'f5'], ['Bg5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'fxe4'], ['Nxe4', 'Nc6'], ['d5', 'Ne5'], ['c3', 'Nf6'], ['Nxf6+', 'exf6\n'], ['Be3', 'd6'], ['Be2', 'O-O'], ['Nf3', 'f5'], ['Qd2', 'Qf6'], ['Nxe5', 'dxe5'], ['f4', 'b6'], ['O-O', 'Bb7\n'], ['Bc4', 'Qd6'], ['Bb3', 'Rfe8'], ['c4', 'exf4'], ['Bxf4', 'Qc5+'], ['Kh1', 'Re4'], ['Rae1', 'Rae8'], ['Bc2', 'R4e7\n'], ['b4', 'Qxc4'], ['Bb3', 'Qxf4'], ['d6+', 'Kh8'], ['Qxf4', 'Rxe1'], ['d7', 'Rxf1+'], ['Qxf1', 'Rd8'], ['Qc4', '']]",1-0
GMA Baleares Open,Palma de Mallorca,1989.??.??,9,"Wolff, Patrick G","Westerinen, Heikki MJ",,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'Nd6'], ['Bxc6', 'dxc6'], ['dxe5', 'Ne4'], ['Qe2', 'Bf5\n'], ['Rd1', 'Qc8'], ['Rd4', 'Nc5'], ['Nc3', 'Be7'], ['b3', 'O-O'], ['Bb2', 'Bg6'], ['Nh4', 'Bxh4'], ['Rxh4', 'Rd8\n'], ['Nd1', 'Ne6'], ['Ne3', 'Qd7'], ['Rf1', 'Qe7'], ['g3', 'c5'], ['f4', 'Nd4'], ['Qg2', '']]",1/2-1/2
Preston,Preston,1989.??.??,?,"Sokolov, Ivan","Wolff, Patrick G",,,A37,"[['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'c5'], ['g3', 'Nc6'], ['Bg2', 'e6'], ['d3', 'd5'], ['Bg5', 'Nge7'], ['O-O', 'O-O\n'], ['Qc1', 'b6'], ['cxd5', 'exd5'], ['Nxd5', 'Qxd5'], ['Bxe7', 'Re8'], ['Nd2', 'Qd7'], ['Bg5', 'Rxe2'], ['Ne4', 'Bb7\n'], ['Nf6+', 'Bxf6'], ['Bxf6', 'Nd4'], ['Bxb7', 'Qxb7'], ['Bxd4', 'cxd4'], ['Qf4', 'Qd5'], ['Rfe1', 'Rae8\n'], ['Rxe2', 'Rxe2'], ['Qf6', 'Qc5'], ['h4', 'h5'], ['a4', 'a5'], ['Rf1', 'Re5'], ['Kg2', 'Re6'], ['Qf4', 'Qc6+\n'], ['Kh2', 'Qxa4'], ['Rc1', 'Kg7'], ['Rc4', 'Qd1'], ['Qxd4+', 'Rf6'], ['Qc3', 'Qf3'], ['Rf4', 'Qc6'], ['Qd4', 'Qd6']]",1/2-1/2
Preston,Preston,1989.??.??,?,"Suba, Mihai","Wolff, Patrick G",,,A29,"[['c4', 'e5'], ['g3', 'Nf6'], ['Bg2', 'd5'], ['cxd5', 'Nxd5'], ['Nc3', 'Nb6'], ['Nf3', 'Nc6'], ['O-O', 'Be7'], ['a3', 'O-O\n'], ['b4', 'Be6'], ['Rb1', 'f6'], ['d3', 'Nd4'], ['Bb2', 'Nxf3+'], ['Bxf3', 'c6'], ['Ne4', 'Bd5'], ['Bc3', 'Rc8\n'], ['Ba1', 'Qe8'], ['Qc2', 'Qf7'], ['a4', 'Rfd8'], ['Rfc1', 'f5'], ['Nd2', 'Bg5'], ['a5', 'Bxd2'], ['Qxd2', 'e4\n'], ['Bg2', 'Nd7'], ['dxe4', 'fxe4'], ['Qd4', 'Rf8'], ['Rf1', 'Rce8'], ['Qxa7', 'c5'], ['bxc5', 'Ra8'], ['Rxb7', 'Rxa7\n'], ['Rxa7', 'Qe6'], ['Bd4', 'Rb8'], ['Ra1', 'Rb4'], ['Be3', 'Qc6'], ['a6', 'h6'], ['Bh3', 'Nxc5'], ['Rc1', 'Rc4\n'], ['Rb1', 'Be6'], ['Bxe6+', 'Nxe6'], ['Rb6', 'Qd5'], ['Re7', 'Nd4'], ['a7', 'Nf5'], ['Rd7', 'Nxe3'], ['fxe3', 'Qa5\n'], ['Rb8+', 'Kh7'], ['Rf7', 'Rc1+'], ['Kg2', 'Ra1'], ['a8=Q', 'Qxa8'], ['Rxa8', 'Rxa8'], ['Re7', 'Ra4'], ['g4', 'Kg6\n'], ['Re6+', 'Kf7'], ['Rd6', 'Ra2'], ['Kf2', 'Ra7'], ['h4', 'g6'], ['Rd4', 'Re7'], ['Kg3', 'g5'], ['h5', 'Kf6\n'], ['Kf2', 'Ke5'], ['Ra4', 'Rd7'], ['Ke1', 'Rd8'], ['Ra7', 'Rd6'], ['Ra8', 'Ke6'], ['Re8+', 'Kd5'], ['Kd2', 'Rc6\n'], ['Ra8', 'Ke5'], ['Ra5+', 'Ke6'], ['Ra3', 'Kd5'], ['Ra2', 'Kd6'], ['Kd1', 'Kd5'], ['Rd2+', 'Ke6'], ['Rc2', 'Kd5\n'], ['Rxc6', 'Kxc6'], ['Kc2', 'Kb6'], ['Kb2', 'Kc6']]",1/2-1/2
Preston,Preston,1989.??.??,?,"Wolff, Patrick G","Wilder, Michael",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Bg5', 'a6'], ['Na3', 'b5\n'], ['Nd5', 'Qa5+'], ['Bd2', 'Qd8'], ['Nxf6+', 'Qxf6'], ['Bd3', 'd5'], ['exd5', 'Nb4'], ['Be4', 'Qh4'], ['Qe2', 'f5\n'], ['Bf3', 'e4'], ['g3', 'Qd8'], ['O-O', 'Nxd5'], ['Bxe4', 'fxe4'], ['Qh5+', 'g6'], ['Qe5+', 'Ne7'], ['Qxh8', 'Qxd2\n'], ['Rfe1', 'Bb7'], ['Rad1', 'Qh6'], ['Qe5', 'Qh3'], ['Rxe4', 'Bxe4'], ['Qxe4', 'Rc8'], ['c4', 'Qf5'], ['Qb7', 'bxc4\n'], ['Qxa6', 'Rc6'], ['Qa4', 'Qc5'], ['Rc1', 'Bh6'], ['Rxc4', 'Qd5'], ['Nb5', 'Kf7'], ['Rxc6', 'Nxc6'], ['Nc3', 'Qe6\n'], ['Ne4', 'Ne7'], ['a3', 'Qe5'], ['Qb4', 'Bg7'], ['b3', 'Qd4'], ['Ng5+', 'Ke8'], ['Qxd4', 'Bxd4'], ['Nxh7', 'Bb2\n'], ['a4', 'Nc6'], ['Kf1', 'Ba3'], ['Ke2', 'Nd4+'], ['Kd3', 'Nxb3'], ['Kc4', 'Nc5'], ['a5', 'Kd8'], ['h4', 'Kc7\n'], ['Kd5', 'Kb7'], ['f4', 'Nd3'], ['Ke6', 'Bb4'], ['f5', 'gxf5'], ['Kxf5', 'Be1'], ['h5', 'Bxg3'], ['h6', 'Bf4\n'], ['Ng5', 'Bc1'], ['h7', 'Bb2'], ['Ne6', 'Ka6'], ['Nd8', '']]",1/2-1/2
Preston,Preston,1989.??.??,?,"Wolff, Patrick G","Lund, D Brett",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'a6'], ['Ngf3', 'c5'], ['dxc5', 'Bxc5'], ['Bd3', 'Nc6'], ['O-O', 'Nge7'], ['Qe2', 'O-O\n'], ['Nb3', 'Ba7'], ['c3', 'Qc7'], ['Be3', 'dxe4'], ['Bxe4', 'Bb8'], ['Bc5', 'Rd8'], ['Rad1', 'f5'], ['Rxd8+', 'Nxd8\n'], ['Bc2', 'Ng6'], ['Rd1', 'Nf7'], ['Bxf5', 'Nh4'], ['Be4', 'a5'], ['g3', 'Nxf3+'], ['Qxf3', 'Ba7'], ['Qh5', 'h6\n'], ['Bxa7', 'Rxa7'], ['Bg6', 'Ne5'], ['Qxe5', '']]",1-0
Preston,Preston,1989.??.??,?,"Wolff, Patrick G","Levitt, Jonathan",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'cxd4'], ['exd5', 'Qxd5'], ['Bc4', 'Qd8'], ['O-O', 'Nf6'], ['Nb3', 'Nc6\n'], ['Nbxd4', 'Nxd4'], ['Nxd4', 'a6'], ['Bf4', 'Bd6'], ['Nc6', 'Qc7'], ['Qxd6', 'Qxc6'], ['Qxc6+', 'bxc6\n'], ['Be2', 'Bb7'], ['Rfd1', 'Nd5'], ['Bd6', 'O-O-O'], ['Bc5', 'Nf4'], ['Bf1', 'Rxd1'], ['Rxd1', 'Rd8'], ['Rxd8+', 'Kxd8\n'], ['g3', 'Nd5'], ['Bd3', 'g6'], ['f4', 'h5'], ['Kf2', 'Nf6'], ['b4', 'Kc7'], ['Ke2', 'Nd7'], ['Be7', 'Nb6'], ['c4', 'Na4\n'], ['Bc2', 'Nb2'], ['Bb3', 'a5'], ['Bf6', 'a4'], ['Bxb2', 'axb3'], ['axb3', 'e5'], ['Bxe5+', 'Kb6'], ['Bd4+', 'Kc7\n'], ['Ke3', 'Bc8'], ['Ke4', 'Bg4'], ['Ke5', 'Kd7'], ['Kf6', 'Be6'], ['h3', 'Bxh3'], ['Kxf7', 'Bf5'], ['Kf6', 'Bc2\n'], ['Bc5', 'Bd3'], ['Ke5', 'Bc2'], ['Kf6', '']]",1/2-1/2
Preston,Preston,1989.??.??,?,"Wolff, Patrick G","Adams, Michael",,,B17,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Nd7'], ['Ng5', 'e6'], ['Bd3', 'Be7'], ['N1f3', 'h6'], ['Ne4', 'Ngf6\n'], ['Qe2', 'Nxe4'], ['Qxe4', 'Nf6'], ['Qe2', 'b6'], ['Bd2', 'Bb7'], ['O-O-O', 'Qc7'], ['Ne5', 'Nd7'], ['f4', 'Rf8\n'], ['Qg4', 'Bf6'], ['Bb4', 'c5'], ['dxc5', 'Bxe5'], ['fxe5', 'bxc5'], ['Bb5', 'O-O-O'], ['Rxd7', 'Rxd7\n'], ['Bxd7+', 'Kxd7'], ['Qxg7', 'Qc8'], ['Rd1+', 'Bd5'], ['Bd2', 'Kc6'], ['Bxh6', 'Rd8'], ['b3', 'Qa6'], ['a4', 'Qe2\n'], ['Rd2', 'Qe1+'], ['Kb2', 'c4'], ['Qg3', '']]",1/2-1/2
Preston,Preston,1989.??.??,?,"Tisdall, Jonathan D","Wolff, Patrick G",,,A37,"[['Nf3', 'c5'], ['c4', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'e6'], ['Nc3', 'Nge7'], ['e3', 'd5'], ['cxd5', 'exd5\n'], ['d4', 'cxd4'], ['Nxd4', 'Nxd4'], ['exd4', 'O-O'], ['Bg5', 'Be6'], ['Qb3', 'f6'], ['Bf4', 'g5'], ['Rfe1', 'Qd7\n'], ['Qb5', 'Rfe8'], ['Qxd7', 'Bxd7'], ['Bd6', 'Bf8'], ['Nxd5', 'Nxd5'], ['Bxd5+', 'Kg7'], ['Bxf8+', 'Kxf8\n'], ['b3', 'Rab8'], ['Rxe8+', 'Kxe8'], ['Rc1', 'Ke7'], ['f4', 'Kd6'], ['Bf3', 'h6'], ['Kf2', 'b6'], ['fxg5', 'fxg5\n'], ['Be4', 'Re8'], ['Re1', 'Rf8+'], ['Ke3', 'Bh3'], ['Rc1', 'Bd7'], ['d5', 'Rf7'], ['Kd4', 'Rf2'], ['Rc2', 'Rf1\n'], ['Rd2', 'Rf7'], ['Bg6', 'Rf6'], ['Be4', 'Rf7'], ['Rc2', 'Rf1'], ['Rd2', 'Rf7'], ['Bg2', 'Rf8'], ['a4', 'a6\n'], ['Be4', 'Rf7'], ['Bd3', 'Rf3'], ['Rb2', 'Bc8'], ['Re2', 'Bd7'], ['Rb2', 'Bc8'], ['Re2', 'Bd7'], ['Bc4', 'h5\n'], ['Re5', 'b5'], ['axb5', 'axb5'], ['Be2', 'Rxb3'], ['Rxg5', 'h4'], ['Rg6+', 'Ke7'], ['gxh4', 'Rb4+'], ['Kc5', 'Rxh4\n'], ['Rg7+', 'Ke8'], ['Kd6', 'Rh6+'], ['Kc7', 'Bf5'], ['Bxb5+', 'Kf8'], ['Rg2', 'Rh7+'], ['Kd6', 'Rh6+'], ['Ke5', 'Rh5\n'], ['Rf2', 'Ke7'], ['Be2', '']]",1-0
Preston,Preston,1989.??.??,?,"Davies, Nigel R","Wolff, Patrick G",,,A57,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['e3', 'g6'], ['Nc3', 'Bg7'], ['a4', 'O-O'], ['Ra3', 'Bb7'], ['Nh3', 'e6\n'], ['Nf4', 'e5'], ['Nh3', 'e4'], ['Nf4', 'd6'], ['Be2', 'axb5'], ['Bxb5', 'Na6'], ['O-O', 'Nb4'], ['Bc4', 'Qe7\n'], ['Qd2', 'g5'], ['Nfe2', 'Ng4'], ['b3', 'Qe5'], ['g3', 'Qf5'], ['Nxe4', 'Qxe4'], ['f3', 'Qxe3+'], ['Qxe3', 'Nxe3\n'], ['Bxe3', 'Nc2'], ['Bc1', 'Nxa3'], ['Bxa3', 'Ba6'], ['Rc1', 'Rfb8']]",0-1
Preston,Preston,1989.??.??,?,"Hodgson, Julian M","Wolff, Patrick G",,,B06,"[['d4', 'g6'], ['e4', 'd6'], ['c3', 'Nf6'], ['Bd3', 'e5'], ['f4', 'exd4'], ['cxd4', 'Bg7'], ['Nf3', 'c5'], ['dxc5', 'Qa5+\n'], ['Nc3', 'Qxc5'], ['e5', 'dxe5'], ['fxe5', 'Ng4'], ['Ne4', 'Qb6'], ['Nd6+', 'Kf8'], ['Qe2', 'Nc6'], ['Nc4', 'Qc5\n'], ['b3', 'Be6'], ['Ba3', 'Nb4'], ['Ng5', 'Nxe5'], ['Nxe6+', 'fxe6'], ['Nxe5', 'Bxe5'], ['Qf2+', 'Kg7'], ['Bc4', 'Qxf2+\n'], ['Kxf2', 'Nc2']]",0-1
Toronto,Toronto,1989.??.??,1,"Findlay, Ian T","Wolff, Patrick G",,,B08,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['h3', 'O-O'], ['Be3', 'd5'], ['Bd3', 'c5'], ['O-O', 'c4'], ['Be2', 'Nxe4\n'], ['Nxe4', 'dxe4'], ['Ng5', 'Qd5'], ['b3', 'cxb3'], ['axb3', 'h6'], ['c4', 'Qc6'], ['d5', 'Qf6'], ['Rxa7', 'Rxa7\n'], ['Bxa7', 'Qxg5'], ['Bxb8', 'Bxh3'], ['Bg3', 'Bd7'], ['Qc1', 'Qxc1'], ['Rxc1', 'Ra8'], ['c5', 'Ra2'], ['Bc4', 'Bd4\n'], ['c6', 'bxc6'], ['dxc6', 'Bxc6'], ['Bxf7+', 'Kxf7'], ['Rxc6', 'Rb2'], ['Rc4', 'e5'], ['Rc7+', 'Kf6'], ['Rh7', 'h5']]",0-1
Toronto,Toronto,1989.??.??,2,"Vranesic, Zvonko","Wolff, Patrick G",,,A31,"[['d4', 'Nf6'], ['c4', 'c5'], ['Nf3', 'cxd4'], ['Nxd4', 'a6'], ['Nc3', 'Qc7'], ['e3', 'e6'], ['Be2', 'Be7'], ['O-O', 'O-O\n'], ['b3', 'b5'], ['Bb2', 'bxc4'], ['Bxc4', 'Bb7'], ['Rc1', 'Nc6'], ['Be2', 'Rac8'], ['Nxc6', 'Qxc6'], ['Bf3', 'Qb6\n'], ['Na4', 'Qb5'], ['Bxb7', 'Rxc1'], ['Qxc1', 'Qxb7'], ['Qd2', 'Ne4'], ['Qd3', 'f5'], ['Rc1', 'Rb8'], ['Be5', 'Rc8\n'], ['Rxc8+', 'Qxc8'], ['Bb2', 'Qc6'], ['f3', 'Nf6'], ['Kf2', 'Nd5'], ['Nc3', 'Nb4'], ['Qd2', 'a5'], ['a3', 'Na6\n'], ['Ne2', 'Nc5'], ['b4', 'axb4'], ['axb4', 'Na4'], ['Ba1', 'Qb5'], ['Nd4', 'Qxb4'], ['Qxb4', 'Bxb4'], ['Nc2', 'Bc3\n'], ['Bxc3', 'Nxc3'], ['Nd4', 'Kf7'], ['Ke1', 'Kf6'], ['Kd2', 'Nd5'], ['Nb3', 'g5'], ['Nc5', 'd6'], ['Nb7', 'Ke7\n'], ['Ke2', 'Kd7'], ['Na5', 'Kc7'], ['Nb3', 'e5'], ['Nd2', 'Nf6'], ['h3', 'Kc6'], ['g4', 'f4'], ['e4', 'd5'], ['exd5+', 'Kxd5\n'], ['Kd3', 'Nd7'], ['Nb1', 'Nc5+'], ['Ke2', 'Kc4'], ['Nd2+', 'Kd4'], ['Nb1', 'Nb3'], ['Na3', 'Kd5'], ['Kf2', 'Kc5\n'], ['Nb1', 'Kc4'], ['Na3+', 'Kd3'], ['Nb5', 'Nc5'], ['Na3', 'h6'], ['Nb5', 'Kd2'], ['Nd6', 'Nd3+'], ['Kf1', 'Ke3\n'], ['Nf5+', 'Kxf3'], ['Nxh6', 'Kg3'], ['Nf7', 'Kxh3'], ['Ke2', 'Nc5'], ['Nxe5', 'Kg3'], ['Kf1', 'f3'], ['Nc4', 'Ne4\n'], ['Ne3', 'Kf4'], ['Nd5+', 'Kxg4'], ['Ne3+', 'Kf4'], ['Nd5+', 'Kg3'], ['Ne3', 'g4'], ['Ke1', 'Kf4'], ['Nd5+', 'Ke5\n'], ['Ne3', 'g3'], ['Nc4+', 'Kf4']]",0-1
Toronto,Toronto,1989.??.??,3,"Wolff, Patrick G","Dlugy, Maxim",,,B89,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bc4', 'e6'], ['Be3', 'Be7'], ['Qe2', 'O-O\n'], ['O-O-O', 'Bd7'], ['f4', 'Qc8'], ['Nf3', 'Qc7'], ['Kb1', 'a6'], ['Bd3', 'e5'], ['f5', 'Nb4'], ['Rhg1', 'd5\n'], ['exd5', 'Nfxd5'], ['Bd2', 'Bc5'], ['Nxd5', 'Nxd5'], ['Rge1', 'Rae8'], ['Ng5', 'e4'], ['Nxe4', 'Bxf5\n'], ['Qf3', 'Bg6'], ['Ng5', 'Rxe1'], ['Rxe1', 'Bxd3'], ['Qxd3', 'Nf6'], ['Bc3', 'Rd8'], ['Qc4', 'Nd5'], ['Bxg7', 'Kxg7\n'], ['Qg4', 'Kh8'], ['Qh5', 'Nf6'], ['Nxf7+', 'Kg8'], ['Nh6+', 'Kh8'], ['Nf7+', 'Kg8'], ['Nxd8', 'Nxh5'], ['Re8+', 'Bf8\n'], ['Rxf8+', 'Kxf8'], ['Ne6+', 'Ke7'], ['Nxc7', 'Kd6'], ['Ne8+', 'Ke7'], ['g4', 'Nf4'], ['Ng7', 'Nh3'], ['Kc1', 'Kf6\n'], ['Nf5', 'Kg5'], ['Ne3', 'Ng1'], ['Kd1', 'Nf3'], ['Nf1', 'Kxg4'], ['Ke2', 'Kf4'], ['c3', 'h5'], ['Ng3', 'h4\n'], ['Nh5+', '']]",1/2-1/2
